Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g
Ageratina aromatica,Ageratina aromatica,4,age_aro_4,yes,yes,yes,yes,yes,yes,0.0117
Ageratina aromatica,Ageratina aromatica,5,age_aro_5,yes,yes,yes,yes,yes,yes,0.0077
Ageratina aromatica,Ageratina aromatica,6,age_aro_6,yes,yes,yes,yes,yes,yes,0.0143
Ageratina aromatica,Ageratina aromatica,7,age_aro_7,yes,yes,yes,yes,yes,yes,0.0216
Monarda fistulosa,Monarda fistulosa,1,mon_fis_1,yes,yes,yes,yes,yes,yes,0.0169
Monarda fistulosa,Monarda fistulosa,2,mon_fis_2,yes,yes,yes,yes,yes,yes,0.0034
Monarda fistulosa,Monarda fistulosa,3,mon_fis_3,yes,yes,yes,yes,yes,yes,0.0123
Monarda fistulosa,Monarda fistulosa,4,mon_fis_4,yes,yes,yes,yes,yes,yes,0.0048
Monarda fistulosa,Monarda fistulosa,5,mon_fis_5,yes,yes,yes,yes,yes,yes,0.0035
Monarda fistulosa,Monarda fistulosa,6,mon_fis_6,yes,yes,yes,yes,yes,yes,0.0238
Monarda fistulosa,Monarda fistulosa,7,mon_fis_7,yes,yes,yes,yes,yes,yes,0.0131
Solidago canadensis,Solidago canadensis,1,sol_can_1,yes,yes,yes,yes,yes,yes,0.0102
Solidago canadensis,Solidago canadensis,2,sol_can_2,yes,yes,yes,yes,yes,yes,0.0127
Solidago canadensis,Solidago canadensis,3,sol_can_3,yes,yes,yes,yes,yes,yes,0.04718
Solidago canadensis,Solidago canadensis,4,sol_can_4,yes,yes,yes,yes,yes,yes,0.0145
Solidago canadensis,Solidago canadensis,5,sol_can_5,yes,yes,yes,yes,yes,yes,0.0304
Solidago canadensis,Solidago canadensis,6,sol_can_6,yes,yes,yes,yes,yes,yes,0.02541
Solidago canadensis,Solidago canadensis,7,sol_can_7,yes,yes,yes,yes,yes,yes,0.02234
Nassella tenuissima,Nassella tenuissima,1,nas_ten_1,yes,yes,yes,yes,yes,yes,0.0082
Nassella tenuissima,Nassella tenuissima,2,nas_ten_2,yes,yes,yes,yes,yes,yes,0.001
Nassella tenuissima,Nassella tenuissima,3,nas_ten_3,yes,yes,yes,yes,yes,yes,0.0084
Nassella tenuissima,Nassella tenuissima,4,nas_ten_4,yes,yes,yes,yes,yes,yes,0.0127
Nassella tenuissima,Nassella tenuissima,5,nas_ten_5,yes,yes,yes,yes,yes,yes,0.0056
Nassella tenuissima,Nassella tenuissima,6,nas_ten_6,yes,yes,yes,yes,yes,yes,0.0049
Nassella tenuissima,Nassella tenuissima,7,nas_ten_7,yes,yes,yes,yes,yes,yes,0.0011
Echinacea pallida,Echinacea pallida,1,ech_pal_1,yes,yes,yes,yes,yes,yes,0.0129
Poa pratensis,Poa pratensis,1,poa_pra_1,yes,yes,yes,yes,yes,yes,0.0017
Campsis radicans,Campsis radicans,1,cam_rad_1,yes,yes,yes,yes,yes,yes,0.0265
Campsis radicans,Campsis radicans,2,cam_rad_2,yes,yes,yes,yes,yes,yes,0.0161
Campsis radicans,Campsis radicans,3,cam_rad_3,yes,yes,yes,yes,yes,yes,0.0141
Campsis radicans,Campsis radicans,4,cam_rad_4,yes,yes,yes,yes,yes,yes,0.0176
Campsis radicans,Campsis radicans,5,cam_rad_5,yes,yes,yes,yes,yes,yes,0.004
Crinum moorei,Crinum moorei,1,cri_moo_1,yes,yes,yes,yes,yes,yes,0.0038
Crinum moorei,Crinum moorei,2,cri_moo_2,yes,yes,yes,yes,yes,yes,0.0053
Crinum moorei,Crinum moorei,3,cri_moo_3,yes,yes,yes,yes,yes,yes,0.0033
Crinum moorei,Crinum moorei,4,cri_moo_4,yes,yes,yes,yes,yes,yes,0.0035
Crinum moorei,Crinum moorei,5,cri_moo_5,yes,yes,yes,yes,yes,yes,0.0061
Crinum moorei,Crinum moorei,6,cri_moo_6,yes,yes,yes,yes,yes,yes,0.0036
Crinum moorei,Crinum moorei,7,cri_moo_7,yes,yes,yes,yes,yes,yes,0.0051
Iris missouriensis,Iris missouriensis,1,iri_mis_1,yes,yes,yes,yes,yes,yes,0.0061
Iris missouriensis,Iris missouriensis,2,iri_mis_2,yes,yes,yes,yes,yes,yes,0.0161
Iris missouriensis,Iris missouriensis,3,iri_mis_3,yes,yes,yes,yes,yes,yes,0.0073
Iris missouriensis,Iris missouriensis,4,iri_mis_4,yes,yes,yes,yes,yes,yes,0.0406
Iris missouriensis,Iris missouriensis,5,iri_mis_5,yes,yes,yes,yes,yes,yes,0.0289
Iris missouriensis,Iris missouriensis,6,iri_mis_6,yes,yes,yes,yes,yes,yes,0.0277
Iris missouriensis,Iris missouriensis,7,iri_mis_7,yes,yes,yes,yes,yes,yes,0.0063
Woodsia obtusa,Physematium obtusum,1,woo_obt_1,yes,yes,yes,yes,yes,yes,0.0044
Woodsia obtusa,Physematium obtusum,2,woo_obt_2,yes,yes,yes,yes,yes,yes,0.0053
Woodsia obtusa,Physematium obtusum,3,woo_obt_3,yes,yes,yes,yes,yes,yes,0.0059
Woodsia obtusa,Physematium obtusum,4,woo_obt_4,yes,yes,yes,yes,yes,yes,0.004
Woodsia obtusa,Physematium obtusum,5,woo_obt_5,yes,yes,yes,yes,yes,yes,0.0101
Woodsia obtusa,Physematium obtusum,6,woo_obt_6,yes,yes,yes,yes,yes,yes,0.0051
Woodsia obtusa,Physematium obtusum,7,woo_obt_7,yes,yes,yes,yes,yes,yes,0.0043
Symphyotrichum ericoides,Symphyotrichum ericoides,1,sym_eri_1,yes,yes,yes,yes,yes,yes,0.0067
Symphyotrichum ericoides,Symphyotrichum ericoides,2,sym_eri_2,yes,yes,yes,yes,yes,yes,0.0026
Symphyotrichum ericoides,Symphyotrichum ericoides,3,sym_eri_3,yes,yes,yes,yes,yes,yes,0.0065
Achyranthes aspera,Achyranthes aspera,1,ach_asp_1,yes,yes,yes,yes,yes,yes,0.0138
Achyranthes aspera,Achyranthes aspera,2,ach_asp_2,yes,yes,yes,yes,yes,yes,0.0097
Achyranthes aspera,Achyranthes aspera,3,ach_asp_3,yes,yes,yes,yes,yes,yes,0.0122
Galium aparine,Galium aparine,1,gal_apa_1,yes,yes,yes,yes,yes,yes,0.0024
Geum triflorum,Geum triflorum,1,geu_tri_1,yes,yes,yes,yes,yes,yes,0.0046
Geum triflorum,Geum triflorum,2,geu_tri_2,yes,yes,yes,yes,yes,yes,0.0014
Geum triflorum,Geum triflorum,3,geu_tri_3,yes,yes,yes,yes,yes,yes,0.0028
Geum triflorum,Geum triflorum,4,geu_tri_4,yes,yes,yes,yes,yes,yes,0.0057
Geum triflorum,Geum triflorum,5,geu_tri_5,yes,yes,yes,yes,yes,yes,0.0033
Geum triflorum,Geum triflorum,6,geu_tri_6,yes,yes,yes,yes,yes,yes,0.0074
Geum triflorum,Geum triflorum,7,geu_tri_7,yes,yes,yes,yes,yes,yes,0.0019
Asclepias syriaca,Asclepias syriaca,1,asc_syr_1,yes,yes,yes,yes,yes,yes,0.0117
Biophytum umbraculum,Biophytum umbraculum,1,bio_umb_1,yes,yes,yes,yes,yes,yes,0.0067
Biophytum umbraculum,Biophytum umbraculum,2,bio_umb_2,yes,yes,yes,yes,yes,yes,0.0028
Stachys palustris,Stachys palustris,1,sta_pal_1,yes,yes,yes,yes,yes,yes,0.0101
Stachys palustris,Stachys palustris,2,sta_pal_2,yes,yes,yes,yes,yes,yes,0.0056
Stachys palustris,Stachys palustris,3,sta_pal_3,yes,yes,yes,yes,yes,yes,0.0082
Stachys palustris,Stachys palustris,4,sta_pal_4,yes,yes,yes,yes,yes,yes,0.0069
Stachys palustris,Stachys palustris,5,sta_pal_5,yes,yes,yes,yes,yes,yes,0.0113
Stachys palustris,Stachys palustris,6,sta_pal_6,yes,yes,yes,yes,yes,yes,0.0062
Stachys palustris,Stachys palustris,7,sta_pal_7,yes,yes,yes,yes,yes,yes,0.0037
Potentilla recta,Potentilla recta,1,pot_rec_1,yes,yes,yes,yes,yes,yes,0.0154
Potentilla recta,Potentilla recta,2,pot_rec_2,yes,yes,yes,yes,yes,yes,0.0191
Potentilla recta,Potentilla recta,3,pot_rec_3,yes,yes,yes,yes,yes,yes,0.0249
Potentilla recta,Potentilla recta,4,pot_rec_4,yes,yes,yes,yes,yes,yes,0.0087
Potentilla recta,Potentilla recta,5,pot_rec_5,yes,yes,yes,yes,yes,yes,0.0304
Potentilla recta,Potentilla recta,6,pot_rec_6,yes,yes,yes,yes,yes,yes,0.0104
Potentilla recta,Potentilla recta,7,pot_rec_7,yes,yes,yes,yes,yes,yes,0.0117
Onoclea sensibilis,Onoclea sensibilis,1,ono_sen_1,yes,yes,yes,yes,yes,yes,0.0074
Onoclea sensibilis,Onoclea sensibilis,2,ono_sen_2,yes,yes,yes,yes,yes,yes,0.0061
Onoclea sensibilis,Onoclea sensibilis,3,ono_sen_3,yes,yes,yes,yes,yes,yes,0.0355
Onoclea sensibilis,Onoclea sensibilis,4,ono_sen_4,yes,yes,yes,yes,yes,yes,0.0112
Onoclea sensibilis,Onoclea sensibilis,5,ono_sen_5,yes,yes,yes,yes,yes,yes,0.0133
Onoclea sensibilis,Onoclea sensibilis,6,ono_sen_6,yes,yes,yes,yes,yes,yes,0.0144
Onoclea sensibilis,Onoclea sensibilis,7,ono_sen_7,yes,yes,yes,yes,yes,yes,0.0171
Equisetum hyemale,Equisetum hyemale,1,equ_hym_1,yes,yes,yes,yes,yes,yes,0.0282
Equisetum hyemale,Equisetum hyemale,2,equ_hym_2,yes,yes,yes,yes,yes,yes,0.0167
Equisetum hyemale,Equisetum hyemale,3,equ_hym_3,yes,yes,yes,yes,yes,yes,0.0126
Equisetum hyemale,Equisetum hyemale,4,equ_hym_4,yes,yes,yes,yes,yes,yes,0.0111
Equisetum hyemale,Equisetum hyemale,5,equ_hym_5,yes,yes,yes,yes,yes,yes,0.0062
Equisetum hyemale,Equisetum hyemale,6,equ_hym_6,yes,yes,yes,yes,yes,yes,0.024
Equisetum hyemale,Equisetum hyemale,7,equ_hym_7,yes,yes,yes,yes,yes,yes,0.0191
Aquilegia canadensis,Aquilegia canadensis,1,aqu_can_1,yes,yes,yes,yes,yes,yes,0.0036
Linaria vulgaris,Linaria vulgaris,1,lin_vul_1,yes,yes,yes,yes,yes,yes,0.0091
Linaria vulgaris,Linaria vulgaris,2,lin_vul_2,yes,yes,yes,yes,yes,yes,0.0023
Linaria vulgaris,Linaria vulgaris,3,lin_vul_3,yes,yes,yes,yes,yes,yes,0.0046
Linaria vulgaris,Linaria vulgaris,4,lin_vul_4,yes,yes,yes,yes,yes,yes,0.0148
Linaria vulgaris,Linaria vulgaris,5,lin_vul_5,yes,yes,yes,yes,yes,yes,0.0111
Linaria vulgaris,Linaria vulgaris,6,lin_vul_6,yes,yes,yes,yes,yes,yes,0.0032
Linaria vulgaris,Linaria vulgaris,7,lin_vul_7,yes,yes,yes,yes,yes,yes,0.0067
