file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2
age_aro_5.jpg,roi_2,49,51,245.875,0.207,131.226,0.594,0.593,1.437,455.961,83.555,461.658
and_ger_5.jpg,roi_2,187,253,438.017,0.578,203.276,0.638,0.494,2.438,674.805,230.081,881.395
and_ger_6.jpg,roi_2,167,197,310.993,0.633,139.756,0.598,0.593,1.857,464.751,118.748,593.281
and_ger_7.jpg,roi_2,146,216,485.494,0.445,256.507,0.71,0.515,2.222,746.836,304.368,1087.495
bap_aus_6.jpg,roi_2,54,48,233.414,0.206,151.543,0.756,0.757,1.794,412.548,118.291,554.387
cha_lat_1.jpg,roi_2,132,176,366.895,0.48,206.948,0.834,0.508,2.634,528.207,356.162,953.74
cha_lat_2.jpg,roi_2,207,301,407.465,0.739,150.473,0.66,0.379,2.408,505.195,257.548,857.059
ech_pal_1.jpg,roi_2,32,36,125.261,0.287,94.733,0.88,0.834,2.794,218.253,92.11,344.774
mon_fis_2.jpg,roi_2,55,53,209.924,0.252,79.143,0.434,0.456,1.023,384.496,36.854,285.919
mon_fis_3.jpg,roi_2,89,155,403.342,0.384,115.856,0.342,0.254,1.663,726.285,55.104,433.763
mon_fis_4.jpg,roi_2,115,209,525.06,0.398,137.552,0.317,0.305,1.25,940.463,53.143,520.348
mon_fis_5.jpg,roi_2,61,77,221.247,0.348,98.025,0.547,0.456,2.25,384.051,72.047,380.132
mon_fis_7.jpg,roi_2,106,200,599.134,0.334,244.507,0.51,0.423,2.117,1027.438,178.404,957.92
nas_ten_1.jpg,roi_2,441,493,789.673,0.624,318.265,0.524,0.456,2.198,1236.448,241.895,1316.249
nas_ten_2.jpg,roi_2,193,213,317.918,0.67,102.149,0.434,0.359,1.526,495.465,69.423,438.658
nas_ten_3.jpg,roi_2,185,237,446.018,0.531,208.224,0.598,0.593,2.973,703.858,181.377,846.941
nas_ten_4.jpg,roi_2,260,314,541.084,0.58,198.75,0.457,0.423,1.481,887.187,123.776,792.418
nas_ten_5.jpg,roi_2,86,90,180.479,0.499,76.064,0.512,0.593,1.203,300.496,50.202,293.539
nas_ten_6.jpg,roi_2,104,122,211.12,0.578,95.98,0.58,0.593,1.606,331.668,75.213,388.582
nas_ten_7.jpg,roi_2,141,179,284.011,0.63,98.247,0.457,0.423,1.618,445.771,63.031,409.834
pan_vir_1.jpg,roi_2,194,296,452.078,0.655,131.525,0.392,0.268,1.5,722.501,82.497,555.121
