Code,file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2,Species,Species_gbif,Sample Number,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor,Location,weight,percent_N,d_15N,percent_C,d_13C
alc_mol_3,alc_mol_3.jpg,roi_8,266,444,938.802,0.473,399.824,0.558,0.456,2.278,1494.804,331.092,1646.343,Alchemilla mollis,Alchemilla mollis,3,yes,yes,yes,yes,yes,yes,0.0287,yes,yes,92,field,23,7,161,3 C11,2008,1.24,0.7,41.69,-27.08
alc_mol_4,alc_mol_4.jpg,roi_8,116,144,307.593,0.468,123.57,0.492,0.423,1.554,523.814,81.903,477.296,Alchemilla mollis,Alchemilla mollis,4,yes,yes,yes,yes,yes,yes,0.0039,yes,yes,2,field,25,9,225,3 C3,2154.5,1.27,0.94,41.33,-27.03
alc_mol_5,alc_mol_5.jpg,roi_8,80,96,360.341,0.266,198.863,0.659,0.611,2.455,631.908,163.86,745.926,Alchemilla mollis,Alchemilla mollis,5,yes,yes,yes,yes,yes,yes,0.0094,yes,yes,100,field,14,3,42,3 C2,1994.5,1.23,0.85,41.54,-27.17
and_ger_1,and_ger_1.jpg,roi_2,43,45,155.703,0.289,111.77,0.829,0.834,1.557,270.276,94.949,408.496,Andropogon gerardii,Andropogon gerardii,1,yes,yes,yes,yes,yes,yes,0.0184,yes,yes,92,field,0,0,0,2 B4,1910.5,1.17,1.06,42.36,-12.41
and_ger_2,and_ger_2.jpg,roi_2,145,175,431.664,0.405,184.987,0.548,0.508,2.963,719.136,157.965,753.235,Andropogon gerardii,Andropogon gerardii,2,yes,yes,yes,yes,yes,yes,0.0114,yes,yes,83,field,0,0,0,1 G9,1915,1.09,0.46,41.42,-12.71
and_ger_3,and_ger_3.jpg,roi_2,212,268,584.365,0.459,259.734,0.57,0.432,2.083,960.954,231.332,1051.313,Andropogon gerardii,Andropogon gerardii,3,yes,yes,yes,yes,yes,yes,0.0291,yes,yes,80,field,0,0,0,2 A3,1958.5,1.13,1.14,35.64,-12.79
and_ger_4,and_ger_4.jpg,roi_2,132,132,263.209,0.502,126.589,0.607,0.611,1.931,426.149,102.92,505.099,Andropogon gerardii,Andropogon gerardii,4,yes,yes,yes,yes,yes,yes,0.0154,yes,yes,91,field,13,8,104,2 A8,2018.5,1.11,0.79,40.99,-12.59
and_ger_5,and_ger_5.jpg,roi_2,187,253,438.017,0.578,203.276,0.638,0.494,2.438,674.805,230.081,881.395,Andropogon gerardii,Andropogon gerardii,5,yes,yes,yes,yes,yes,yes,0.0132,yes,yes,77,field,0,0,0,1 H2,1845.5,1.13,0.5,41.9,-12.85
and_ger_6,and_ger_6.jpg,roi_2,167,197,310.993,0.633,139.756,0.598,0.593,1.857,464.751,118.748,593.281,Andropogon gerardii,Andropogon gerardii,6,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,62,field,17,5,85,1 A4,1928.5,0.98,2.5,45.73,-12.63
and_ger_7,and_ger_7.jpg,roi_2,146,216,485.494,0.445,256.507,0.71,0.515,2.222,746.836,304.368,1087.495,Andropogon gerardii,Andropogon gerardii,7,yes,yes,yes,yes,yes,yes,0.0329,yes,yes,75,field,0,0,0,2 C1,2066.5,1.3,1.55,42.76,-12.42
ane_tom_1,ane_tom_1.jpg,roi_8,50,58,168.838,0.344,108.224,0.775,0.781,1.893,277.255,96.18,415.39,Anemone tomentosa,Eriocapitella tomentosa,1,yes,yes,yes,yes,yes,yes,0.0131,yes,yes,99,field,10,4,40,3 F1,2000.5,1.34,1.08,41.41,-27.15
ane_tom_2,ane_tom_2.jpg,roi_8,69,87,261.314,0.333,209.161,1.024,1.03,3.105,402.604,287.41,847.317,Anemone tomentosa,Eriocapitella tomentosa,2,yes,yes,yes,yes,yes,yes,0.0434,yes,yes,87,field,43,1,43,3 C6,1958,1.27,0.82,41.94,-27.08
ane_tom_3,ane_tom_3.jpg,roi_8,65,73,241.652,0.302,146.654,0.741,0.677,2.384,413.827,138.382,561.604,Anemone tomentosa,Eriocapitella tomentosa,3,yes,yes,yes,yes,yes,yes,0.0234,yes,yes,91,field,0,0,0,3 E1,1861,1.29,0.77,41.14,-27.16
ane_tom_4,ane_tom_4.jpg,roi_8,70,104,294.855,0.353,193.912,0.781,0.757,1.8,489.95,172.957,728.637,Anemone tomentosa,Eriocapitella tomentosa,4,yes,yes,yes,yes,yes,yes,0.0291,yes,yes,98,field,0,0,0,3 D3,2020,1.39,0.82,41.72,-27.07
ane_tom_5,ane_tom_5.jpg,roi_8,93,127,366.028,0.347,155.962,0.501,0.456,1.401,641.378,87.54,578.437,Anemone tomentosa,Eriocapitella tomentosa,5,yes,yes,yes,yes,yes,yes,0.0154,yes,yes,94,field,0,0,0,3 F3,2109.5,1.27,1.07,41.63,-27.19
aqu_can_1,aqu_can_1.jpg,roi_6,174,256,396.302,0.646,118.125,0.385,0.339,1.389,645.902,62.603,480.281,Aquilegia canadensis,Aquilegia canadensis,1,yes,yes,yes,yes,yes,yes,0.0036,yes,yes,76,field,37,7,259,1 F11,2118.5,1.86,-0.51,42.77,-28.77
art_cam_1,art_cam_1.jpg,roi_2,66,92,224.821,0.409,116.878,0.633,0.593,1.5,370.622,94.977,452.867,Artemisia campestris,Artemisia campestris,1,yes,yes,yes,yes,yes,yes,0.0054,yes,yes,9,field,13,3,39,2 G1,1991.5,2.12,3.08,53.84,-27.65
art_cam_2,art_cam_2.jpg,roi_2,29,29,232.871,0.125,134.729,0.64,0.599,1.447,441.697,87.207,467.209,Artemisia campestris,Artemisia campestris,2,yes,yes,yes,yes,yes,yes,0.0043,yes,yes,17,field,19,7,133,2 G4,1922.5,1.69,2.98,44.9,-27.73
asc_syr_1,asc_syr_1.jpg,roi_2,138,156,396.663,0.393,191.729,0.566,0.593,1.314,689.685,121.486,712.391,Asclepias syriaca,Asclepias syriaca,1,yes,yes,yes,yes,yes,yes,0.0117,yes,yes,94,field,27,17,459,1 F9,2171,4.1,4.2,39.74,-28.95
aur_sax_1,aur_sax_1.jpg,roi_6,100,112,293.601,0.381,115.494,0.455,0.432,1.152,531.287,62.984,420.747,Aurinia saxatilis,Aurinia saxatilis,1,yes,yes,yes,yes,yes,yes,0.0071,yes,yes,6,field,39,6,234,3 D12,1833,1.9,-2.95,43.07,-29.6
aur_sax_2,aur_sax_2.jpg,roi_6,130,148,274.793,0.539,81.17,0.358,0.349,1.185,476.051,35.064,311.95,Aurinia saxatilis,Aurinia saxatilis,2,yes,yes,yes,yes,yes,yes,0.0031,yes,yes,5,field,63,6,378,3 E6,2038,2.15,-2.86,42.22,-29.55
aur_sax_3,aur_sax_3.jpg,roi_6,101,161,248.604,0.648,105.971,0.548,0.599,1.378,382.381,75.221,431.721,Aurinia saxatilis,Aurinia saxatilis,3,yes,yes,yes,yes,yes,yes,0.0051,yes,yes,22,field,37,6,222,3 F9,2066.5,1.97,-3.02,43.46,-29.56
aur_sax_4,aur_sax_4.jpg,roi_6,147,209,253.991,0.823,90.831,0.518,0.432,1.778,358.025,81.804,418.342,Aurinia saxatilis,Aurinia saxatilis,4,yes,yes,yes,yes,yes,yes,0.0038,yes,yes,9,field,46,8,368,3 F2,1982,2.19,-2.62,42.81,-29.49
aur_sax_5,aur_sax_5.jpg,roi_6,126,152,266.447,0.57,105.908,0.508,0.456,1.859,429.367,74.736,428.105,Aurinia saxatilis,Aurinia saxatilis,5,yes,yes,yes,yes,yes,yes,0.0044,yes,yes,0,field,43,9,387,3 E5,1999,1.8,-3.27,43.79,-29.65
bap_aus_1,bap_aus_1.jpg,roi_2,51,51,233.549,0.218,219.901,1.107,0.987,3.293,400.695,314.225,814.536,Baptisia australis,Baptisia australis,1,yes,yes,yes,yes,yes,yes,0.0611,yes,yes,NA,field,9,22,198,1 C5,2188,2.2,-0.1,44.07,-27.06
bap_aus_2,bap_aus_2.jpg,roi_1,71,81,491.571,0.165,421.25,0.993,1.02,2.657,868.807,446.884,1537.918,Baptisia australis,Baptisia australis,2,yes,yes,yes,yes,yes,yes,0.03326,yes,yes,NA,field,8,23,184,1 B4,1879,1.8,-0.31,43.51,-26.92
bap_aus_3,bap_aus_3.jpg,roi_2,71,97,340.218,0.285,280.551,1.05,0.987,2.983,532.41,386.4,1123.375,Baptisia australis,Baptisia australis,3,yes,yes,yes,yes,yes,yes,0.0599,yes,yes,NA,field,12,25,300,1 B1,2159,2.09,0.01,42.34,-27.03
bap_aus_4,bap_aus_4.jpg,roi_1,65,85,275.274,0.309,171.337,0.741,0.723,1.704,467.343,142.538,644.727,Baptisia australis,Baptisia australis,4,yes,yes,yes,yes,yes,yes,0.01405,yes,yes,NA,field,7,15,105,1 C6,1917.5,2.43,-0.44,46.32,-26.41
bap_aus_5,bap_aus_5.jpg,roi_1,54,70,318.369,0.22,231.725,0.899,0.884,2.259,532.703,250.52,894.702,Baptisia australis,Baptisia australis,5,yes,yes,yes,yes,yes,yes,0.02101,yes,yes,NA,field,13,25,325,1 B6,2137,1.8,-0.37,43.82,-27.04
bap_aus_6,bap_aus_6.jpg,roi_2,54,48,233.414,0.206,151.543,0.756,0.757,1.794,412.548,118.291,554.387,Baptisia australis,Baptisia australis,6,yes,yes,yes,yes,yes,yes,0.0081,yes,yes,NA,field,7,18,126,2 B8,2022.5,2.8,0.26,43.65,-26.69
bap_aus_7,bap_aus_7.jpg,roi_2,37,35,127.36,0.275,78.253,0.722,0.723,1.778,222.693,60.886,289.752,Baptisia australis,Baptisia australis,7,yes,yes,yes,yes,yes,yes,0.0082,yes,yes,NA,field,10,17,170,1 A5,2098,1.79,-0.22,43.92,-26.81
bio_umb_1,bio_umb_1.jpg,roi_2,145,299,494.805,0.604,107.555,0.267,0.239,1.104,880.925,41.132,414.9,Biophytum umbraculum,Biophytum umbraculum,1,yes,yes,yes,yes,yes,yes,0.0067,yes,yes,18,glasshouse,17,13,221,1 F4,2123.5,0.95,-4.22,45.51,-29.43
bio_umb_2,bio_umb_2.jpg,roi_2,82,94,244.137,0.385,60.914,0.297,0.254,1.13,449.368,23.392,228.116,Biophytum umbraculum,Biophytum umbraculum,2,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,26,glasshouse,16,15,240,1 F3,1817.5,1.04,-3.59,44.44,-29.46
bra_nig_1,bra_nig_1.jpg,roi_6,47,51,218.53,0.233,118.656,0.602,0.645,1.365,402.882,75.643,419.033,Brassica nigra,Brassica nigra,1,yes,yes,yes,yes,yes,yes,0.007,yes,yes,0,field,0,0,0,3 F6,1944.5,4.62,0.98,41.26,-29.49
bra_nig_2,bra_nig_2.jpg,roi_6,48,48,258.689,0.186,173.251,0.747,0.677,2.88,480.963,156.826,610.806,Brassica nigra,Brassica nigra,2,yes,yes,yes,yes,yes,yes,0.013,yes,yes,0,field,0,0,0,3 E12,2090.5,4.47,0.69,41.09,-29.4
bra_nig_3,bra_nig_3.jpg,roi_6,106,140,323.802,0.432,100.077,0.369,0.339,1.339,577.444,47.236,377.825,Brassica nigra,Brassica nigra,3,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,0,field,0,0,0,3 C9,1829,4.3,0.79,40.77,-29.43
bra_nig_4,bra_nig_4.jpg,roi_6,114,142,342.213,0.415,140.711,0.479,0.432,1.618,602.623,84.154,521.743,Brassica nigra,Brassica nigra,4,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,3,field,0,0,0,3 C10,1846.5,4.5,1.1,40.76,-29.43
bra_nig_5,bra_nig_5.jpg,roi_6,143,147,357.68,0.411,223.297,0.757,0.799,1.78,584.822,202.339,861.194,Brassica nigra,Brassica nigra,5,yes,yes,yes,yes,yes,yes,0.0069,yes,yes,0,field,0,0,0,3 D2,2107.5,4.35,0.91,41.15,-29.47
cam_rad_1,cam_rad_1.jpg,roi_2,148,182,464.527,0.392,234.258,0.62,0.535,2.208,770.623,192.135,907.835,Campsis radicans,Campsis radicans,1,yes,yes,yes,yes,yes,yes,0.0265,yes,yes,66,field,7,28,196,2 F6,2090.5,1.49,1.6,44.68,-26.01
cam_rad_2,cam_rad_2.jpg,roi_2,106,130,362.474,0.359,181.605,0.583,0.611,1.439,633.08,114.52,665.98,Campsis radicans,Campsis radicans,2,yes,yes,yes,yes,yes,yes,0.0161,yes,yes,37,field,8,26,208,2 E7,1933.5,1.56,1.64,45.24,-26.36
cam_rad_3,cam_rad_3.jpg,roi_2,123,181,426.69,0.424,209.182,0.6,0.568,1.554,709.413,147.562,805.303,Campsis radicans,Campsis radicans,3,yes,yes,yes,yes,yes,yes,0.0141,yes,yes,80,field,6,26,156,2 E1,1893,1.47,1.55,44.31,-26.32
cam_rad_4,cam_rad_4.jpg,roi_2,148,210,411.05,0.511,199.801,0.625,0.568,1.737,642.858,161.223,809.625,Campsis radicans,Campsis radicans,4,yes,yes,yes,yes,yes,yes,0.0176,yes,yes,54,field,5,20,100,2 F3,1916.5,1.55,1.58,43.58,-26.39
cam_rad_5,cam_rad_5.jpg,roi_2,104,132,274.324,0.481,106.595,0.479,0.456,1.533,461.352,59.377,414.067,Campsis radicans,Campsis radicans,5,yes,yes,yes,yes,yes,yes,0.004,yes,yes,71,field,4,19,76,2 C6,1993,1.42,1.74,44.79,-26.04
car_otr_1,car_otr_1.jpg,roi_2,292,588,539.208,1.09,98.79,0.285,0.189,1.365,806.316,53.358,474.813,Carex otrubae,Carex otrubae,1,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,6,field,22,17,374,3 B7,1866.5,0.88,-0.4,40.96,-25.52
car_otr_2,car_otr_2.jpg,roi_8,139,199,342.8,0.581,128.545,0.534,0.349,2.196,522.559,128.549,571.964,Carex otrubae,Carex otrubae,2,yes,yes,yes,yes,yes,yes,0.0115,yes,yes,68,field,26,12,312,3 B1,2074,0.87,0.05,43.12,-25.53
car_otr_3,car_otr_3.jpg,roi_8,601,1155,823.94,1.402,158.855,0.331,0.254,2.422,1086.772,121.304,854.923,Carex otrubae,Carex otrubae,3,yes,yes,yes,yes,yes,yes,0.0079,yes,yes,10,field,28,13,364,2 H7,2036.5,0.75,-0.13,44.02,-25.21
car_otr_4,car_otr_4.jpg,roi_8,287,373,413.748,0.902,133.313,0.463,0.423,1.903,583.283,100.685,608.542,Carex otrubae,Carex otrubae,4,yes,yes,yes,yes,yes,yes,0.0081,yes,yes,15,field,30,8,240,3 A9,2115,0.88,0.11,40.87,-25.45
car_otr_5,car_otr_5.jpg,roi_8,362,560,501.114,1.118,153.487,0.513,0.339,2.046,628.345,178.85,818.737,Carex otrubae,Carex otrubae,5,yes,yes,yes,yes,yes,yes,0.0109,yes,yes,23,field,27,9,243,3 A11,2143,0.73,-0.24,43.91,-24.91
cer_arv_1,cer_arv_1.jpg,roi_8,428,652,889.669,0.733,271.931,0.403,0.349,1.687,1408.276,162.468,1133.246,Cerastium arvense,Cerastium arvense,1,yes,yes,yes,yes,yes,yes,0.0079,yes,yes,12,field,50,1,50,3 E7,1871.5,1.87,-0.6,42.1,-27.55
cer_arv_2,cer_arv_2.jpg,roi_8,95,119,221.242,0.538,79.532,0.446,0.432,1.292,364.359,44.415,312.691,Cerastium arvense,Cerastium arvense,2,yes,yes,yes,yes,yes,yes,0.0024,yes,yes,37,field,0,0,0,3 C4,1980.5,2.11,-0.67,42.72,-27.55
cer_arv_3,cer_arv_3.jpg,roi_8,203,301,489.583,0.615,221.93,0.646,0.456,1.982,700.374,250.543,1000.775,Cerastium arvense,Cerastium arvense,3,yes,yes,yes,yes,yes,yes,0.0178,yes,yes,22,field,20,3,60,3 C7,2139.5,2.04,-0.83,42.59,-27.48
cer_arv_4,cer_arv_4.jpg,roi_8,244,316,492.011,0.642,163.225,0.42,0.379,1.317,800.204,87.833,652.104,Cerastium arvense,Cerastium arvense,4,yes,yes,yes,yes,yes,yes,0.0032,yes,yes,29,field,0,0,0,3 D9,1987.5,1.28,-1.64,26.96,-27.62
cer_arv_5,cer_arv_5.jpg,roi_8,196,330,462.246,0.714,147.485,0.43,0.379,1.557,710.312,90.455,627.1,Cerastium arvense,Cerastium arvense,5,yes,yes,yes,yes,yes,yes,0.0031,yes,yes,61,field,10,3,30,3 B12,2083.5,2.11,-0.94,42.59,-27.5
cha_lat_1,cha_lat_1.jpg,roi_2,132,176,366.895,0.48,206.948,0.834,0.508,2.634,528.207,356.162,953.74,Chasmanthium latifolium,Chasmanthium latifolium,1,yes,yes,yes,yes,yes,yes,0.0433,yes,yes,84,field,0,0,0,2 B6,1848.5,1.18,0.52,41.83,-24.08
cha_lat_2,cha_lat_2.jpg,roi_2,207,301,407.465,0.739,150.473,0.66,0.379,2.408,505.195,257.548,857.059,Chasmanthium latifolium,Chasmanthium latifolium,2,yes,yes,yes,yes,yes,yes,0.0233,yes,yes,80,field,0,0,0,2 B7,2163.5,1.82,1,41.43,-24.12
cha_lat_3,cha_lat_3.jpg,roi_2,105,139,404.198,0.344,261.096,0.907,0.683,3.976,608.502,414.826,1146.354,Chasmanthium latifolium,Chasmanthium latifolium,3,yes,yes,yes,yes,yes,yes,0.0488,yes,yes,71,field,0,0,0,2 B2,1886,1.5,0.93,41.64,-23.93
cha_lat_4,cha_lat_4.jpg,roi_2,272,372,622.24,0.598,253.014,0.608,0.359,2.118,899.484,316.684,1201.099,Chasmanthium latifolium,Chasmanthium latifolium,4,yes,yes,yes,yes,yes,yes,0.0474,yes,yes,74,field,0,0,0,1 A2,1951.5,1.66,0.31,44.22,-24.16
cha_lat_5,cha_lat_5.jpg,roi_2,337,455,760.8,0.598,322.25,0.649,0.379,2.846,1090.301,494.785,1566.088,Chasmanthium latifolium,Chasmanthium latifolium,5,yes,yes,yes,yes,yes,yes,0.0597,yes,yes,93,field,0,0,0,1 F2,1976.5,1.2,0.41,42.88,-23.79
cha_lat_6,cha_lat_6.jpg,roi_2,246,426,642.727,0.663,219.55,0.515,0.349,2.992,954.663,248.815,1033.202,Chasmanthium latifolium,Chasmanthium latifolium,6,yes,yes,yes,yes,yes,yes,0.0199,yes,yes,77,field,0,0,0,2 B1,1878.5,1.68,0.91,43.67,-24.16
