Code,file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2,Species,Species_gbif,Sample Number,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor,Location,weight,percent_N,d_15N,percent_C,d_13C
dor_rec_3,dor_rec_3.jpg,roi_8,56,56,272.56,0.205,242.388,1.031,1.114,2.036,475.051,267.496,885.949,Dorycnium rectum,Lotus rectus,3,yes,yes,yes,yes,yes,yes,0.0253,yes,yes,NA,field,4,17,68,3 E11,1904.5,1.83,0.02,44.68,-27.52
ech_pal_1,ech_pal_1.jpg,roi_2,32,36,125.261,0.287,94.733,0.88,0.834,2.794,218.253,92.11,344.774,Echinacea pallida,Echinacea pallida,1,yes,yes,yes,yes,yes,yes,0.0129,yes,yes,78,field,84,14,1176,1 H11,2126.5,1.28,1.42,39.89,-27.55
equ_hym_1,equ_hym_1.jpg,roi_2,178,250,484.59,0.516,180.648,0.486,0.423,1.964,783.68,123.157,738.375,Equisetum hyemale,Equisetum hyemale,1,yes,yes,yes,yes,yes,yes,0.0282,yes,yes,100,field,0,0,0,1 C11,2090.5,1.04,1.99,46.55,-28.71
equ_hym_2,equ_hym_2.jpg,roi_6,232,322,476.394,0.676,181.949,0.527,0.423,1.745,705.026,148.797,790.003,Equisetum hyemale,Equisetum hyemale,2,yes,yes,yes,yes,yes,yes,0.0167,yes,yes,99,field,0,0,0,1 D11,2016.5,1.07,2.15,45.54,-28.75
equ_hym_3,equ_hym_3.jpg,roi_6,176,222,314.469,0.706,124.998,0.559,0.515,1.609,448.126,102.058,555.818,Equisetum hyemale,Equisetum hyemale,3,yes,yes,yes,yes,yes,yes,0.0126,yes,yes,100,field,0,0,0,1 D9,2113,1,2.49,48.36,-28.88
equ_hym_4,equ_hym_4.jpg,roi_6,180,238,333.33,0.714,123.605,0.508,0.479,1.984,495.89,89.755,536.176,Equisetum hyemale,Equisetum hyemale,4,yes,yes,yes,yes,yes,yes,0.0111,yes,yes,100,field,0,0,0,1 A3,1988.5,1.1,2.91,46.55,-28.86
equ_hym_5,equ_hym_5.jpg,roi_2,123,143,246.54,0.58,75.373,0.389,0.349,1.314,405.17,37.503,303.002,Equisetum hyemale,Equisetum hyemale,5,yes,yes,yes,yes,yes,yes,0.0062,yes,yes,98,field,0,0,0,1 D10,2122,0.97,2.31,47.94,-29
equ_hym_6,equ_hym_6.jpg,roi_2,388,562,817.18,0.688,263.906,0.435,0.379,1.762,1262.808,166.876,1120.502,Equisetum hyemale,Equisetum hyemale,6,yes,yes,yes,yes,yes,yes,0.024,yes,yes,97,field,0,0,0,1 E5,1869.5,0.88,2.03,48.48,-28.86
equ_hym_7,equ_hym_7.jpg,roi_6,255,357,473.303,0.754,183.704,0.536,0.508,1.727,682.441,142.26,803.427,Equisetum hyemale,Equisetum hyemale,7,yes,yes,yes,yes,yes,yes,0.0191,yes,yes,97,field,0,0,0,1 D5,1884.5,1.05,1.68,46.96,-28.68
ero_tri_1,ero_tri_1.jpg,roi_8,66,72,202.249,0.356,88.1,0.504,0.508,1.188,359.862,48.189,323.287,Erodium trifolium,Erodium trifolium,1,yes,yes,yes,yes,yes,yes,0.0019,yes,yes,56,field,37,23,851,3 D7,1804.5,2.13,1.08,40.54,-28.55
ero_tri_2,ero_tri_2.jpg,roi_8,83,93,265.553,0.35,122.353,0.569,0.535,1.857,458.978,88.455,472.914,Erodium trifolium,Erodium trifolium,2,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,67,field,35,19,665,3 C1,1859,2.12,1.2,41.24,-28.48
ero_tri_3,ero_tri_3.jpg,roi_8,71,75,244.699,0.306,126.435,0.589,0.568,1.355,441.585,79.123,454.221,Erodium trifolium,Erodium trifolium,3,yes,yes,yes,yes,yes,yes,0.0017,yes,yes,47,field,45,16,720,3 E9,1957.5,2.03,0.99,43.5,-28.55
ero_tri_4,ero_tri_4.jpg,roi_8,69,71,194.847,0.364,101.269,0.63,0.542,2.096,330.589,77.479,387.732,Erodium trifolium,Erodium trifolium,4,yes,yes,yes,yes,yes,yes,0.0018,yes,yes,78,field,33,24,792,3 D4,1924,2.07,0.99,41.62,-28.63
ero_tri_5,ero_tri_5.jpg,roi_8,60,56,224.875,0.249,125.546,0.656,0.599,2.711,402.316,98.882,466.372,Erodium trifolium,Erodium trifolium,5,yes,yes,yes,yes,yes,yes,0.0029,yes,yes,87,field,47,22,1034,3 C5,2011,2.07,1.09,42.53,-28.5
gal_apa_1,gal_apa_1.jpg,roi_2,92,146,299.304,0.488,92.353,0.371,0.349,1.25,523.835,42.274,349.845,Galium aparine,Galium aparine,1,yes,yes,yes,yes,yes,yes,0.0024,yes,yes,18,field,67,5,335,1 F1,1980.5,1.92,-0.77,37.7,-29.25
geu_tri_1,geu_tri_1.jpg,roi_2,110,199,437.402,0.455,207.109,0.608,0.494,2.007,698.253,191.022,844.285,Geum triflorum,Geum triflorum,1,yes,yes,yes,yes,yes,yes,0.0046,yes,yes,81,field,54,5,270,2 D4,1874.5,1.36,0.15,41.39,-30.27
geu_tri_2,geu_tri_2.jpg,roi_2,44,62,235.392,0.263,73.616,0.366,0.254,1.317,432.205,40.827,276.873,Geum triflorum,Geum triflorum,2,yes,yes,yes,yes,yes,yes,0.0014,yes,yes,73,field,54,3,162,2 E12,2016.5,1.39,0.23,39.6,-30.03
geu_tri_3,geu_tri_3.jpg,roi_2,86,126,324.194,0.389,124.333,0.465,0.423,1.591,562.639,76.545,474.821,Geum triflorum,Geum triflorum,3,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,96,field,45,3,135,2 C4,2175.5,1.44,0.36,41.85,-30.08
geu_tri_4,geu_tri_4.jpg,roi_2,323,557,870.554,0.64,294.774,0.462,0.359,2.547,1370.43,227.267,1260.052,Geum triflorum,Geum triflorum,4,yes,yes,yes,yes,yes,yes,0.0057,yes,yes,95,field,65,2,130,2 D8,2124.5,1.45,0.6,41.15,-30.04
geu_tri_5,geu_tri_5.jpg,roi_2,119,213,404.594,0.526,138.143,0.48,0.379,2.198,632.316,112.681,607.783,Geum triflorum,Geum triflorum,5,yes,yes,yes,yes,yes,yes,0.0033,yes,yes,55,field,37,9,333,2 D2,2043,1.36,0.14,41.74,-30.01
geu_tri_6,geu_tri_6.jpg,roi_2,189,339,633.737,0.535,239.345,0.524,0.379,2.965,997.703,233.045,1036.646,Geum triflorum,Geum triflorum,6,yes,yes,yes,yes,yes,yes,0.0074,yes,yes,70,field,15,5,75,2 E2,1941,1.34,0.1,36,-30.32
geu_tri_7,geu_tri_7.jpg,roi_2,109,161,362.848,0.444,109.071,0.362,0.339,1.743,644.85,52.894,412.602,Geum triflorum,Geum triflorum,7,yes,yes,yes,yes,yes,yes,0.0019,yes,yes,91,field,25,5,125,2 F8,2061.5,1.46,0.43,41.67,-29.98
iri_mis_1,iri_mis_1.jpg,roi_2,118,182,520.684,0.35,190.67,0.433,0.379,1.533,920.27,95.51,707.92,Iris missouriensis,Iris missouriensis,1,yes,yes,yes,yes,yes,yes,0.0061,yes,yes,44,field,0,0,0,2 E10,1919,1.35,3.98,41.03,-29.37
iri_mis_2,iri_mis_2.jpg,roi_2,219,313,654.036,0.479,390.379,0.775,0.677,3.082,1013.379,430.204,1599.752,Iris missouriensis,Iris missouriensis,2,yes,yes,yes,yes,yes,yes,0.0161,yes,yes,72,field,0,0,0,2 C11,1948.5,1.2,3.98,42.64,-29.4
iri_mis_3,iri_mis_3.jpg,roi_2,141,189,444.607,0.425,198.351,0.545,0.508,1.969,740.654,136.233,768.821,Iris missouriensis,Iris missouriensis,3,yes,yes,yes,yes,yes,yes,0.0073,yes,yes,65,field,0,0,0,2 D3,1965,1.23,3.61,41.18,-29.28
iri_mis_4,iri_mis_4.jpg,roi_2,271,395,1137.751,0.347,833.319,0.981,0.799,3.861,1706.201,1321.374,3536.385,Iris missouriensis,Iris missouriensis,4,yes,yes,yes,yes,yes,yes,0.0406,yes,yes,63,field,0,0,0,2 D12,2024,1.2,3.85,42.24,-29.39
iri_mis_5,iri_mis_5.jpg,roi_2,527,783,1538.509,0.509,842.059,0.781,0.645,3.772,2209.193,1099.853,3780.518,Iris missouriensis,Iris missouriensis,5,yes,yes,yes,yes,yes,yes,0.0289,yes,yes,47,field,0,0,0,2 D9,2017,1.21,3.86,41.92,-29.41
iri_mis_6,iri_mis_6.jpg,roi_2,220,270,778.833,0.347,474.397,0.752,0.611,2.865,1289.881,505.638,1852.197,Iris missouriensis,Iris missouriensis,6,yes,yes,yes,yes,yes,yes,0.0277,yes,yes,54,field,0,0,0,2 F4,1997,1.34,3.7,41.95,-29.49
iri_mis_7,iri_mis_7.jpg,roi_2,83,109,296.467,0.368,155.901,0.642,0.593,1.857,491.626,122.2,601.796,Iris missouriensis,Iris missouriensis,7,yes,yes,yes,yes,yes,yes,0.0063,yes,yes,59,field,0,0,0,2 E9,2000.5,1.22,3.96,43.28,-29.42
jun_inf_1,jun_inf_1.jpg,roi_2,225,493,563.961,0.874,126.383,0.327,0.239,1.401,872.364,76.006,572.604,Juncus inflexus,Juncus inflexus,1,yes,yes,yes,yes,yes,yes,0.0056,yes,yes,18,field,41,18,738,2 G11,2019.5,0.78,0.95,41.99,-27.84
jun_inf_2,jun_inf_2.jpg,roi_2,116,264,312.95,0.844,48.521,0.211,0.169,0.728,536.946,14.952,204.068,Juncus inflexus,Juncus inflexus,2,yes,yes,yes,yes,yes,yes,0.0011,yes,yes,0,field,83,32,2656,2 H10,2160.5,0.73,0.71,42.97,-27.85
jun_inf_3,jun_inf_3.jpg,roi_2,546,1292,1649.086,0.783,368.261,0.323,0.239,1.818,2622.883,228.011,1649.216,Juncus inflexus,Juncus inflexus,3,yes,yes,yes,yes,yes,yes,0.0107,yes,yes,11,field,44,8,352,2 G9,2102,0.7,0.75,42.37,-27.88
jun_inf_4,jun_inf_4.jpg,roi_2,239,493,601.515,0.82,150.439,0.366,0.305,1.515,908.416,92.087,681.363,Juncus inflexus,Juncus inflexus,4,yes,yes,yes,yes,yes,yes,0.0053,yes,yes,23,field,52,16,832,3 A10,2167,0.7,1,40.86,-27.95
jun_inf_5,jun_inf_5.jpg,roi_2,608,1338,1625.392,0.823,391.533,0.355,0.268,1.949,2464.08,251.187,1790.419,Juncus inflexus,Juncus inflexus,5,yes,yes,yes,yes,yes,yes,0.0108,yes,yes,4,field,67,18,1206,2 F9,1942,0.84,0.98,39.69,-27.8
lin_per_1,lin_per_1.jpg,roi_8,102,98,188.008,0.521,75.052,0.489,0.423,2.046,321.109,50.67,294.203,Linum perenne,Linum perenne,1,yes,yes,yes,yes,yes,yes,0.0018,yes,yes,28,field,0,0,0,3 F5,1881,1.79,-0.33,43.76,-28.64
lin_per_2,lin_per_2.jpg,roi_8,218,258,512.12,0.504,268.817,0.679,0.616,2.82,811.05,245.465,1101.896,Linum perenne,Linum perenne,2,yes,yes,yes,yes,yes,yes,0.0049,yes,yes,37,field,0,0,0,3 C12,2007,1.89,-0.52,43.31,-28.75
lin_per_3,lin_per_3.jpg,roi_8,319,395,824.032,0.479,382.689,0.57,0.535,1.796,1354.133,261.622,1490.647,Linum perenne,Linum perenne,3,yes,yes,yes,yes,yes,yes,0.0064,yes,yes,7,field,23,12,276,3 E2,1814.5,1.66,-0.79,44.29,-28.54
lin_per_4,lin_per_4.jpg,roi_8,238,296,611.969,0.484,241.039,0.483,0.456,1.618,1027.67,141.144,930.812,Linum perenne,Linum perenne,4,yes,yes,yes,yes,yes,yes,0.0049,yes,yes,22,field,0,0,0,3 F11,1992.5,1.68,-0.51,43.61,-28.56
lin_per_5,lin_per_5.jpg,roi_8,162,232,474.252,0.489,201.068,0.538,0.494,1.582,760.73,132.917,802.76,Linum perenne,Linum perenne,5,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,18,field,0,0,0,3 F4,1812.5,1.7,-0.39,44.22,-28.56
lin_vul_1,lin_vul_1.jpg,roi_6,169,279,495.406,0.563,234.989,0.688,0.456,3.409,721.912,314.773,1073.208,Linaria vulgaris,Linaria vulgaris,1,yes,yes,yes,yes,yes,yes,0.0091,yes,yes,31,field,0,0,0,1 C1,1972.5,1.87,1.56,43.72,-29.5
lin_vul_2,lin_vul_2.jpg,roi_6,68,78,160.004,0.487,97.876,0.791,0.834,1.947,240.81,102.788,402.914,Linaria vulgaris,Linaria vulgaris,2,yes,yes,yes,yes,yes,yes,0.0023,yes,yes,38,field,78,3,234,1 D7,1866,1.99,1.35,43.2,-29.37
lin_vul_3,lin_vul_3.jpg,roi_6,215,257,555.727,0.462,291.707,0.717,0.593,2.614,841.024,324.481,1260.269,Linaria vulgaris,Linaria vulgaris,3,yes,yes,yes,yes,yes,yes,0.0046,yes,yes,15,field,66,2,132,1 C4,1803.5,2.29,1.44,42.22,-29.88
lin_vul_4,lin_vul_4.jpg,roi_6,115,163,398.038,0.41,237.055,0.794,0.508,2.709,619.987,336.621,998.973,Linaria vulgaris,Linaria vulgaris,4,yes,yes,yes,yes,yes,yes,0.0148,yes,yes,21,field,87,1,87,1 D1,1864.5,1.97,1.4,42.45,-29.48
lin_vul_5,lin_vul_5.jpg,roi_6,101,151,338.877,0.446,224.397,0.848,0.611,2.313,528.471,295.407,910.119,Linaria vulgaris,Linaria vulgaris,5,yes,yes,yes,yes,yes,yes,0.0111,yes,yes,40,field,0,0,0,1 E9,2173,2.02,1.37,42.93,-29.37
lin_vul_6,lin_vul_6.jpg,roi_6,106,140,260.834,0.537,150.975,0.744,0.781,2.17,399.526,161.541,615.203,Linaria vulgaris,Linaria vulgaris,6,yes,yes,yes,yes,yes,yes,0.0032,yes,yes,35,field,0,0,0,1 D12,1886,2.05,1.35,43.17,-29.4
lin_vul_7,lin_vul_7.jpg,roi_6,194,258,512.904,0.503,238.709,0.636,0.494,3.192,799.697,273.661,1033.838,Linaria vulgaris,Linaria vulgaris,7,yes,yes,yes,yes,yes,yes,0.0067,yes,yes,2,field,77,8,616,1 H1,1992,1.89,0.95,41.28,-29.1
mer_ann_1,mer_ann_1.jpg,roi_8,202,262,525.871,0.498,238.424,0.586,0.508,2.919,839.033,208.957,979.2,Mercurialis annua,Mercurialis annua,1,yes,yes,yes,yes,yes,yes,0.0039,yes,yes,42,field,78,9,702,3 D11,1807.5,1.51,-0.18,37.09,-29.8
mer_ann_2,mer_ann_2.jpg,roi_8,260,334,693.496,0.482,388.596,0.77,0.611,2.7,1027.601,485.222,1683.981,Mercurialis annua,Mercurialis annua,2,yes,yes,yes,yes,yes,yes,0.0161,yes,yes,47,field,59,11,649,3 E4,1863.5,1.33,-0.43,38.52,-29.79
mer_ann_3,mer_ann_3.jpg,roi_6,79,87,234.213,0.371,113.706,0.565,0.508,1.409,410.41,73.763,420.608,Mercurialis annua,Mercurialis annua,3,yes,yes,yes,yes,yes,yes,0.0014,yes,yes,48,field,45,13,585,3 C8,1905,0.93,-0.17,41.52,-30.12
mer_ann_4,mer_ann_4.jpg,roi_6,113,159,351.095,0.453,187.666,0.696,0.677,2.076,538.97,170.789,772.931,Mercurialis annua,Mercurialis annua,4,yes,yes,yes,yes,yes,yes,0.0029,yes,yes,35,field,76,12,912,3 D10,1884.5,0.85,-0.87,42.66,-30.29
mer_ann_5,mer_ann_5.jpg,roi_6,174,182,463.266,0.393,330.705,0.891,0.863,3.142,733.739,380.857,1310.509,Mercurialis annua,Mercurialis annua,5,yes,yes,yes,yes,yes,yes,0.0045,yes,yes,53,field,53,7,371,3 F10,1859.5,1.27,-0.43,38.94,-29.9
mon_fis_1,mon_fis_1.jpg,roi_2,220,356,762.39,0.467,253.575,0.407,0.359,1.368,1303.953,132.39,977.913,Monarda fistulosa,Monarda fistulosa,1,yes,yes,yes,yes,yes,yes,0.0169,yes,yes,72,field,25,6,150,1 D6,2180.5,1.36,0.29,42,-28.12
mon_fis_2,mon_fis_2.jpg,roi_2,55,53,209.924,0.252,79.143,0.434,0.456,1.023,384.496,36.854,285.919,Monarda fistulosa,Monarda fistulosa,2,yes,yes,yes,yes,yes,yes,0.0034,yes,yes,87,field,21,5,105,1 F5,2167,1.5,0.16,41.74,-28.04
mon_fis_3,mon_fis_3.jpg,roi_2,89,155,403.342,0.384,115.856,0.342,0.254,1.663,726.285,55.104,433.763,Monarda fistulosa,Monarda fistulosa,3,yes,yes,yes,yes,yes,yes,0.0123,yes,yes,84,field,100,4,400,2 C2,1867.5,1.56,0.67,38.94,-28.27
mon_fis_4,mon_fis_4.jpg,roi_2,115,209,525.06,0.398,137.552,0.317,0.305,1.25,940.463,53.143,520.348,Monarda fistulosa,Monarda fistulosa,4,yes,yes,yes,yes,yes,yes,0.0048,yes,yes,90,field,37,3,111,1 G6,1980.5,1.63,0.49,41.14,-28.12
mon_fis_5,mon_fis_5.jpg,roi_2,61,77,221.247,0.348,98.025,0.547,0.456,2.25,384.051,72.047,380.132,Monarda fistulosa,Monarda fistulosa,5,yes,yes,yes,yes,yes,yes,0.0035,yes,yes,69,field,76,12,912,2 A5,1860.5,1.37,0.71,39.65,-29.46
mon_fis_6,mon_fis_6.jpg,roi_2,205,391,838.541,0.466,293.745,0.444,0.349,1.768,1409.268,185.74,1155.903,Monarda fistulosa,Monarda fistulosa,6,yes,yes,yes,yes,yes,yes,0.0238,yes,yes,73,field,11,3,33,1 G10,2061,1.56,0.4,40.82,-28.15
mon_fis_7,mon_fis_7.jpg,roi_2,106,200,599.134,0.334,244.507,0.51,0.423,2.117,1027.438,178.404,957.92,Monarda fistulosa,Monarda fistulosa,7,yes,yes,yes,yes,yes,yes,0.0131,yes,yes,80,field,46,4,184,1 G8,1819,1.58,0.32,39.82,-28.31
nas_ten_1,nas_ten_1.jpg,roi_2,441,493,789.673,0.624,318.265,0.524,0.456,2.198,1236.448,241.895,1316.249,Nassella tenuissima,Nassella tenuissima,1,yes,yes,yes,yes,yes,yes,0.0082,yes,yes,25,field,0,0,0,1 B10,2117.5,0.63,0.32,46.9,-29.14
nas_ten_2,nas_ten_2.jpg,roi_2,193,213,317.918,0.67,102.149,0.434,0.359,1.526,495.465,69.423,438.658,Nassella tenuissima,Nassella tenuissima,2,yes,yes,yes,yes,yes,yes,0.001,yes,yes,14,field,0,0,0,1 C2,1804.5,1.02,-0.22,45.15,-28.35
nas_ten_3,nas_ten_3.jpg,roi_2,185,237,446.018,0.531,208.224,0.598,0.593,2.973,703.858,181.377,846.941,Nassella tenuissima,Nassella tenuissima,3,yes,yes,yes,yes,yes,yes,0.0084,yes,yes,43,field,0,0,0,1 B3,1978,1.09,-0.33,45.42,-28.3
nas_ten_4,nas_ten_4.jpg,roi_2,260,314,541.084,0.58,198.75,0.457,0.423,1.481,887.187,123.776,792.418,Nassella tenuissima,Nassella tenuissima,4,yes,yes,yes,yes,yes,yes,0.0127,yes,yes,50,field,0,0,0,1 D3,1939.5,1.22,-0.56,42.92,-28.15
nas_ten_5,nas_ten_5.jpg,roi_2,86,90,180.479,0.499,76.064,0.512,0.593,1.203,300.496,50.202,293.539,Nassella tenuissima,Nassella tenuissima,5,yes,yes,yes,yes,yes,yes,0.0056,yes,yes,20,field,0,0,0,2 B11,2022.5,1.39,0.28,43.26,-28.72
nas_ten_6,nas_ten_6.jpg,roi_2,104,122,211.12,0.578,95.98,0.58,0.593,1.606,331.668,75.213,388.582,Nassella tenuissima,Nassella tenuissima,6,yes,yes,yes,yes,yes,yes,0.0049,yes,yes,26,field,0,0,0,1 A11,2073.5,0.68,0.5,47.05,-28.93
nas_ten_7,nas_ten_7.jpg,roi_2,141,179,284.011,0.63,98.247,0.457,0.423,1.618,445.771,63.031,409.834,Nassella tenuissima,Nassella tenuissima,7,yes,yes,yes,yes,yes,yes,0.0011,yes,yes,47,field,0,0,0,1 B9,2129.5,1.03,0.45,46.1,-28.24
ono_sen_1,ono_sen_1.jpg,roi_2,120,166,495.452,0.335,161.724,0.384,0.339,1.295,896.234,72.703,596.812,Onoclea sensibilis,Onoclea sensibilis,1,yes,yes,yes,yes,yes,yes,0.0074,yes,yes,65,field,67,6,402,1 H5,1913.5,1.3,-0.55,41.79,-31.27
ono_sen_2,ono_sen_2.jpg,roi_6,114,220,547.947,0.401,180.363,0.404,0.339,1.575,958.136,95.934,686.687,Onoclea sensibilis,Onoclea sensibilis,2,yes,yes,yes,yes,yes,yes,0.0061,yes,yes,38,field,125,4,500,1 E2,2055,0.91,-0.77,41.81,-26.63
ono_sen_3,ono_sen_3.jpg,roi_2,217,331,881.463,0.376,355.899,0.518,0.379,2.386,1490.226,279.378,1426.896,Onoclea sensibilis,Onoclea sensibilis,3,yes,yes,yes,yes,yes,yes,0.0355,yes,yes,53,field,38,8,304,1 E6,2140.5,0.89,-0.86,42.34,-26.72
ono_sen_4,ono_sen_4.jpg,roi_2,95,147,452.555,0.325,177.677,0.483,0.423,1.663,777.453,104.18,683.117,Onoclea sensibilis,Onoclea sensibilis,4,yes,yes,yes,yes,yes,yes,0.0112,yes,yes,43,field,28,4,112,1 B2,1930.5,1.13,-0.13,40.27,-26.6
ono_sen_5,ono_sen_5.jpg,roi_6,109,171,481.606,0.355,215.179,0.564,0.423,2.235,822.301,181.345,840.811,Onoclea sensibilis,Onoclea sensibilis,5,yes,yes,yes,yes,yes,yes,0.0133,yes,yes,46,field,88,9,792,1 C12,1869,1.05,-0.61,40.35,-26.46
ono_sen_6,ono_sen_6.jpg,roi_6,110,192,495.51,0.387,188.663,0.477,0.423,1.863,839.677,115.788,739.335,Onoclea sensibilis,Onoclea sensibilis,6,yes,yes,yes,yes,yes,yes,0.0144,yes,yes,27,field,54,13,702,1 D8,2093.5,1.05,-0.19,41.44,-26.71
ono_sen_7,ono_sen_7.jpg,roi_6,91,149,327.756,0.455,173.776,0.749,0.593,3.218,483.095,211.528,767.649,Onoclea sensibilis,Onoclea sensibilis,7,yes,yes,yes,yes,yes,yes,0.0171,yes,yes,62,field,91,10,910,1 E3,2165,0.87,-0.33,40.85,-25.59
pan_vir_1,pan_vir_1.jpg,roi_2,194,296,452.078,0.655,131.525,0.392,0.268,1.5,722.501,82.497,555.121,Panicum virgatum,Panicum virgatum,1,yes,yes,yes,yes,yes,yes,0.0048,yes,yes,57,field,0,0,0,2 B9,2163.5,0.86,1.75,44.41,-12.86
pan_vir_2,pan_vir_2.jpg,roi_2,171,203,597.927,0.34,420.35,0.892,0.723,4.403,960.451,576.413,1698.758,Panicum virgatum,Panicum virgatum,2,yes,yes,yes,yes,yes,yes,0.0402,yes,yes,68,field,0,0,0,2 B3,2130,0.88,1.56,44.98,-12.76
pan_vir_3,pan_vir_3.jpg,roi_2,148,162,323.971,0.5,167.358,0.644,0.599,1.933,521.467,137.932,663.516,Panicum virgatum,Panicum virgatum,3,yes,yes,yes,yes,yes,yes,0.0099,yes,yes,61,field,0,0,0,1 H6,2010.5,1.45,0.42,44.11,-13.52
pan_vir_4,pan_vir_4.jpg,roi_2,150,160,348.775,0.459,160.435,0.589,0.611,1.663,545.158,123.473,654.752,Panicum virgatum,Panicum virgatum,4,yes,yes,yes,yes,yes,yes,0.0084,yes,yes,40,field,0,0,0,1 G5,1921,0.98,1.02,45.03,-13.04
pan_vir_5,pan_vir_5.jpg,roi_2,165,207,441.273,0.469,150.76,0.43,0.379,1.786,749.059,95.009,599.151,Panicum virgatum,Panicum virgatum,5,yes,yes,yes,yes,yes,yes,0.0093,yes,yes,26,field,0,0,0,2 A11,1860.5,1.3,0.35,46.19,-13.4
pan_vir_6,pan_vir_6.jpg,roi_2,383,571,699.681,0.816,196.602,0.385,0.339,1.668,1086.539,120.669,852.816,Panicum virgatum,Panicum virgatum,6,yes,yes,yes,yes,yes,yes,0.0061,yes,yes,82,field,17,3,51,1 F7,2096.5,1.09,1.41,44.61,-13.05
pan_vir_7,pan_vir_7.jpg,roi_2,210,304,710.849,0.428,344.318,0.62,0.542,2.198,1139.588,289.77,1395.953,Panicum virgatum,Panicum virgatum,7,yes,yes,yes,yes,yes,yes,0.0113,yes,yes,32,field,20,4,80,1 H10,1932.5,0.89,1.22,44.79,-13.27
pet_axi_1,pet_axi_1.jpg,roi_8,111,135,264.651,0.51,142.324,0.674,0.683,1.786,415.756,117.46,568.309,Petunia axillaris,Petunia axillaris,1,yes,yes,yes,yes,yes,yes,0.0037,yes,yes,52,field,87,13,1131,3 A2,1911.5,2.27,-2.13,41.67,-28.91
pet_axi_2,pet_axi_2.jpg,roi_8,246,322,578.366,0.557,285.171,0.643,0.568,2.352,887.254,256.142,1178.629,Petunia axillaris,Petunia axillaris,2,yes,yes,yes,yes,yes,yes,0.0045,yes,yes,44,field,65,14,910,2 F10,2029,2.2,-1.71,42.82,-28.66
pet_axi_3,pet_axi_3.jpg,roi_8,130,140,263.94,0.53,127.58,0.597,0.568,1.745,424.846,99.997,503.144,Petunia axillaris,Petunia axillaris,3,yes,yes,yes,yes,yes,yes,0.0029,yes,yes,58,field,77,18,1386,3 A5,1920.5,2.11,-2.08,42.39,-28.94
pet_axi_4,pet_axi_4.jpg,roi_8,226,324,605.167,0.535,337.069,0.781,0.683,2.879,854.62,413.008,1497.899,Petunia axillaris,Petunia axillaris,4,yes,yes,yes,yes,yes,yes,0.0069,yes,yes,33,field,88,16,1408,3 B9,1835.5,1.67,-2.63,43.66,-29.18
pet_axi_5,pet_axi_5.jpg,roi_8,177,215,377.579,0.569,184.46,0.635,0.535,2.048,580.835,165.405,761.307,Petunia axillaris,Petunia axillaris,5,yes,yes,yes,yes,yes,yes,0.0038,yes,yes,37,field,72,14,1008,2 G3,1849,2.26,-2.14,41.7,-28.79
pha_aru_1,pha_aru_1.jpg,roi_2,559,803,810.398,0.991,241.501,0.412,0.379,1.498,1185.853,145.074,1061.557,Phalaris arundinacea,Phalaris arundinacea,1,yes,yes,yes,yes,yes,yes,0.0055,yes,yes,39,field,78,4,312,3 B8,2171,0.88,1.14,42.66,-27.54
pha_aru_2,pha_aru_2.jpg,roi_2,369,545,696.072,0.783,272.098,0.551,0.494,2.585,999.171,228.465,1217.397,Phalaris arundinacea,Phalaris arundinacea,2,yes,yes,yes,yes,yes,yes,0.0052,yes,yes,7,field,36,3,108,2 F12,2155.5,0.79,0.9,43.17,-27.22
pha_aru_3,pha_aru_3.jpg,roi_2,391,625,911.781,0.685,420.804,0.765,0.542,3.848,1151.19,727.765,2201.338,Phalaris arundinacea,Phalaris arundinacea,3,yes,yes,yes,yes,yes,yes,0.0109,yes,yes,69,field,67,4,268,2 H4,2070,0.92,1.11,41.15,-27.45
pha_aru_4,pha_aru_4.jpg,roi_2,305,419,623.249,0.672,280.254,0.631,0.568,2.359,873.308,277.27,1253.025,Phalaris arundinacea,Phalaris arundinacea,4,yes,yes,yes,yes,yes,yes,0.0094,yes,yes,88,field,85,7,595,2 G2,2052.5,0.87,0.93,41.06,-27.43
pha_aru_5,pha_aru_5.jpg,roi_2,673,1217,1503.074,0.81,599.391,0.63,0.515,3.029,1883.075,706.169,2993.211,Phalaris arundinacea,Phalaris arundinacea,5,yes,yes,yes,yes,yes,yes,0.0147,yes,yes,70,field,67,2,134,3 A4,1865,0.88,1.19,41.51,-27.72
pha_aru_6,pha_aru_6.jpg,roi_2,209,311,450.946,0.69,221.948,0.741,0.611,3.09,601.841,307.572,1056.815,Phalaris arundinacea,Phalaris arundinacea,6,yes,yes,yes,yes,yes,yes,0.0104,yes,yes,86,field,87,7,609,2 H3,2064,0.9,0.98,41.52,-27.45
