species_author,Family,Order,Superorder,Group,Sample_reference_code,Life_cycle_habit,Plant_growth_habit,C (%),S (%),R (%),CSR,Color_values,growth_habit_grey,growth_habit_color,Growth_habit_symbol
Abarema cochliocarpos (Gomes) Barneby & J.W. Grimes,Fabaceae,Fabales,Rosanae,Dicot,Pinho,perennial,tree,22.83,61.39,15.78,S/CSR,"@rgb(58,157,40)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Abarema macradenia (Pittier) Barneby & J.W. Grimes,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,54.76,45.24,0,CS,"@rgb(140,115,0)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Abuta racemosa (Thunb.) Triana & Planch.,Menispermaceae,Ranunculales,Ranunculanae,Dicot,Wright,perennial,liana,29.59,63.12,7.28,S/CS,"@rgb(75,161,19)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
Abutilon theophrasti Medik.,Malvaceae,Malvales,Rosanae,Dicot,Cerabolini/Pierce,annual,forb,66.59,14.07,19.34,C/CR,"@rgb(170,36,49)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Acalypha diversifolia Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,shrub,43.52,35.93,20.55,CS/CSR,"@rgb(111,92,52)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Acalypha macrostachya Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,shrub,67.91,11.3,20.79,C/CR,"@rgb(173,29,53)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Acalypha virginica L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Cerabolini/Pierce,annual,forb,28.02,30.08,41.9,CSR,"@rgb(71,77,107)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Acer campestre L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,42.29,29.41,28.3,CSR,"@rgb(108,75,72)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Acer monspessulanum L.,Sapindaceae,Sapindales,Rosanae,Dicot,Díaz,perennial,tree,23.49,68.83,7.69,S/CS,"@rgb(60,176,20)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Acer negundo L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,50.38,23.31,26.31,C/CSR,"@rgb(128,59,67)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Acer opalus Mill.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,47.55,25.57,26.88,C/CSR,"@rgb(121,65,69)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Acer platanoides L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,48.76,35.31,15.93,CS/CSR,"@rgb(124,90,41)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Acer pseudoplatanus L.,Sapindaceae,Sapindales,Rosanae,Dicot,Díaz,perennial,tree,37.51,54.93,7.55,CS,"@rgb(96,140,19)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Acer saccharum Marshall,Sapindaceae,Sapindales,Rosanae,Dicot,Shipley,perennial,tree,27.13,56.44,16.43,S/CSR,"@rgb(69,144,42)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Aceras anthropophorum (L.) W.T. Aiton,Orchidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,41.33,0,58.67,CR,"@rgb(105,0,150)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea atrata L.,Asteraceae,Asterales,Asteranae,Dicot,Caccianiga,perennial,forb,10.13,25.27,64.6,R/SR,"@rgb(26,64,165)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea cartilaginea Ledeb.,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,perennial,forb,23.48,26.19,50.33,R/CSR,"@rgb(60,67,128)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea clavenae L.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini,perennial,forb,48.55,0,51.45,CR,"@rgb(124,0,131)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea collina (Becker ex Rchb. f.) Heimerl,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,perennial,forb,41.02,15.79,43.19,CR/CSR,"@rgb(105,40,110)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea macrophylla L.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,64.71,0,35.29,C/CR,"@rgb(165,0,90)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea millefolium L.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,22.02,58.81,19.18,S/CSR,"@rgb(56,150,49)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea moschata Wulfen,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,5.8,58.94,35.26,SR,"@rgb(15,150,90)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea pannonica Scheele,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,perennial,forb,23.79,76.21,0,S/CS,"@rgb(61,194,0)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achillea roseo-alba Ehrend.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,36.2,14.11,49.69,CR/CSR,"@rgb(92,36,127)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Achnatherum calamagrostis (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,perennial,graminoid,43.37,40.86,15.77,CS/CSR,"@rgb(111,104,40)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Acinos arvensis (Lam.) Dandy,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,forb,2.87,50.89,46.23,SR,"@rgb(7,130,118)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Aconitum lycoctonum L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,74.03,0,25.97,C/CR,"@rgb(189,0,66)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Aconitum napellus L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,66.9,3.8,29.3,C/CR,"@rgb(171,10,75)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Aconitum nasutum Fisch. ex Rchb.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Soudzilovskaia,perennial,forb,47.28,9.32,43.41,CR,"@rgb(121,24,111)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Acorus calamus L.,Acoraceae,Acorales,Lilianae,Monocot,Shipley,perennial,forb,5.83,61.14,33.03,S/SR,"@rgb(15,156,84)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Actaea spicata L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,60.9,14.82,24.28,C/CSR,"@rgb(155,38,62)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Adelia triloba (Müll. Arg.) Hemsl.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,33.59,38.75,27.66,CSR,"@rgb(86,99,71)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Adenostyles alliariae (Gouan) A. Kern. alliariae,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,86.65,0,13.35,C,"@rgb(221,0,34)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Adenostyles glabra (Mill.) DC.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,80.12,0,19.88,C/CR,"@rgb(204,0,51)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Adenostyles leucophylla (Willd.) Rchb.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,54,3.77,42.23,CR,"@rgb(138,10,108)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Adiantum capillus-veneris L.,Pteridaceae,Polypodiales,,Fern,Cerabolini,perennial,forb,48,0,52,CR,"@rgb(122,0,133)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Adonis aestivalis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,annual,forb,12.24,0,87.76,R,"@rgb(31,0,224)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Adonis vernalis L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,11.26,69.89,18.85,S/SR,"@rgb(29,178,48)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Adoxa moschatellina L. moschatellina,Adoxaceae,Dipsacales,Asteranae,Dicot,Cerabolini,perennial,forb,30.87,0,69.13,R/CR,"@rgb(79,0,176)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Aegilops geniculata Roth,Poaceae,Poales,Lilianae,Monocot,Wright,annual,graminoid,1.31,49.97,48.72,SR,"@rgb(3,127,124)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Aegiphila cephalophora Standl.,Lamiaceae,Lamiales,Asteranae,Dicot,Wright,perennial,liana,42.2,29.94,27.86,CSR,"@rgb(108,76,71)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
Aegiphila elata Sw.,Lamiaceae,Lamiales,Asteranae,Dicot,Wright,perennial,liana,55.2,34.78,10.02,CS,"@rgb(141,89,26)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
Aegiphila panamensis Moldenke,Lamiaceae,Lamiales,Asteranae,Dicot,Wright,perennial,tree,48.2,21.43,30.36,C/CSR,"@rgb(123,55,77)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Aegiphila pernambucensis Moldenke,Lamiaceae,Lamiales,Asteranae,Dicot,Pinho,perennial,tree,56.66,41.29,2.05,CS,"@rgb(144,105,5)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Aegopodium podagraria L.,Apiaceae,Apiales,Asteranae,Dicot,Wright,perennial,forb,65.13,13.53,21.34,C/CR,"@rgb(166,34,54)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Aesculus hippocastanum L.,Sapindaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,76.55,12.52,10.93,C/CS,"@rgb(195,32,28)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Aetheopappus caucasicus Sosn.,Asteraceae,Asterales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,40.22,18.14,41.63,CR/CSR,"@rgb(103,46,106)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Aethusa cynapium L.,Apiaceae,Apiales,Asteranae,Dicot,Kleyer,annual,forb,55.61,9.31,35.09,CR,"@rgb(142,24,89)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Agalinis brachyphylla (Cham. & Schltdl.) D'Arcy,Orobanchaceae,Lamiales,Asteranae,Dicot,Negreiros,perennial,forb,1.27,98.73,0,S,"@rgb(3,252,0)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Agave virginica L.,Asparagaceae,Asparagales,Lilianae,Monocot,Weiher,perennial,shrub,17.27,82.73,0,S/CS,"@rgb(44,211,0)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Agonandra brasiliensis Miers ex Benth. & Hook. f.,Opiliaceae,Santalales,Santalanae,Dicot,Pinho,perennial,shrub,32.96,67.04,0,S/CS,"@rgb(84,171,0)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Agoseris glauca (Pursh) Raf.,Asteraceae,Asterales,Asteranae,Dicot,Laughlin,perennial,shrub,34.44,4.56,61,R/CR,"@rgb(88,12,156)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Agrimonia eupatoria L. eupatoria,Rosaceae,Rosales,Rosanae,Dicot,Cerabolini,perennial,forb,39.2,52.34,8.46,CS,"@rgb(100,133,22)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Agrimonia gryposepala Wallr.,Rosaceae,Rosales,Rosanae,Dicot,Shipley,perennial,forb,14.23,72.93,12.84,S/CS,"@rgb(36,186,33)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Agrimonia procera Wallr.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,54.24,29.86,15.9,C/CSR,"@rgb(138,76,41)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Agrimonia pubescens Wallr.,Rosaceae,Rosales,Rosanae,Dicot,Weiher,perennial,forb,43.1,45.77,11.13,CS/CSR,"@rgb(110,117,28)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Agropyron desertorum (Fisch. ex Link) Schult.,Poaceae,Poales,Lilianae,Monocot,Laughlin,perennial,graminoid,12.12,87.88,0,S,"@rgb(31,224,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agropyron junceum (L.) Beauv.,Poaceae,Poales,Lilianae,Monocot,Cerabolini,perennial,graminoid,31.81,68.19,0,S/CS,"@rgb(81,174,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agropyron repens (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,Reich,perennial,graminoid,26.03,50.85,23.12,S/CSR,"@rgb(66,130,59)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostemma githago L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,annual,forb,28.76,44.02,27.23,S/CSR,"@rgb(73,112,69)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Agrostis alba L.,Poaceae,Poales,Lilianae,Monocot,Shipley,perennial,graminoid,19.03,44.79,36.18,SR/CSR,"@rgb(49,114,92)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis alpina Scop.,Poaceae,Poales,Lilianae,Monocot,Cerabolini,perennial,graminoid,1.1,95.21,3.69,S,"@rgb(3,243,9)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis canina L.,Poaceae,Poales,Lilianae,Monocot,Díaz,perennial,graminoid,4.46,41.75,53.79,SR,"@rgb(11,106,137)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis capillaris L.,Poaceae,Poales,Lilianae,Monocot,Díaz,perennial,graminoid,5.9,52.83,41.27,SR,"@rgb(15,135,105)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis gigantea Roth,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,12.74,35.3,51.95,SR/CSR,"@rgb(32,90,132)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",Poaceae,Poales,Lilianae,Monocot,Siefert,perennial,graminoid,4.94,79.25,15.81,S/SR,"@rgb(13,202,40)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis mertensii Trin.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,2.84,60.91,36.26,SR,"@rgb(7,155,92)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis rupestris All.,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,perennial,graminoid,1.87,83.47,14.65,S,"@rgb(5,213,37)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis schraderiana Bech.,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,perennial,graminoid,8.71,60.66,30.63,S/SR,"@rgb(22,155,78)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis stolonifera L.,Poaceae,Poales,Lilianae,Monocot,Díaz,perennial,graminoid,11.4,46.71,41.89,SR/CSR,"@rgb(29,119,107)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis tenuis Sibth.,Poaceae,Poales,Lilianae,Monocot,Wright,perennial,graminoid,11.55,49.33,39.12,SR/CSR,"@rgb(29,126,100)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Agrostis vinealis Schreb.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,9.44,63.75,26.81,S/SR,"@rgb(24,163,68)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Aidia densiflora (Wall.) Masam.  ,Rubiaceae,Gentianales,Asteranae,Dicot,SJ Wright Pasoh,perennial,tree,38.3,60.51,1.19,CS,"@rgb(98,154,3)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Ailanthus altissima (Mill.) Swingle,Simaroubaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,74.92,21.32,3.76,C/CS,"@rgb(191,54,10)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Aira praecox L.,Poaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,0,56.61,43.39,SR,"@rgb(0,144,111)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
Ajuga chamaepitys (L.) Schreber chamaepitys,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,annual,forb,11.92,3.73,84.34,R,"@rgb(30,10,215)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ajuga genevensis L.,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,forb,26.17,0,73.83,R/CR,"@rgb(67,0,188)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ajuga orientalis L.,Lamiaceae,Lamiales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,32.68,42.26,25.06,CSR,"@rgb(83,108,64)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ajuga pyramidalis L.,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,forb,27.19,41.12,31.69,CSR,"@rgb(69,105,81)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Ajuga reptans L.,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini,perennial,forb,23.85,16.87,59.29,R/CSR,"@rgb(61,43,151)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alangium ebenaceum (C.B. Clarke) Harms  ,Alangiaceae,Cornales,Asteranae,Dicot,SJ Wright Pasoh,perennial,tree,49.72,50.28,0,CS,"@rgb(127,128,0)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Albizia julibrissin Durazz.,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,61.82,24.62,13.56,C/CSR,"@rgb(158,63,35)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Alcea rosea L.,Malvaceae,Malvales,Rosanae,Dicot,Kleyer,perennial,forb,72.51,14.17,13.32,C/CS,"@rgb(185,36,34)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla alpina L.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,15.16,66.94,17.9,S/SR,"@rgb(39,171,46)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla caucasica Buser,Rosaceae,Rosales,Rosanae,Dicot,Soudzilovskaia,perennial,forb,17.28,68.71,14.02,S/CS,"@rgb(44,175,36)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla glabra Neygenf.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,25.42,40.17,34.41,CSR,"@rgb(65,102,88)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla glaucescens Wallr.,Rosaceae,Rosales,Rosanae,Dicot,Cerabolini/Pierce,perennial,forb,32.77,42.4,24.83,CS/CSR,"@rgb(84,108,63)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla mollis (Buser) Rothm.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,60.01,24.15,15.84,C/CSR,"@rgb(153,62,40)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla monticola Opiz,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,42.58,33.68,23.75,CS/CSR,"@rgb(109,86,61)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla pentaphyllea L.,Rosaceae,Rosales,Rosanae,Dicot,Cerabolini/Pierce,perennial,forb,13.32,44.02,42.67,SR/CSR,"@rgb(34,112,109)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla propinqua Lindb. fil. ex Juz.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,39.8,32.89,27.32,CSR,"@rgb(101,84,70)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla subcrenata Buser,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,41.01,27.85,31.15,CSR,"@rgb(105,71,79)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla subglobosa G.C. Westerl.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,38.56,31.76,29.67,CSR,"@rgb(98,81,76)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla vulgaris L.,Rosaceae,Rosales,Rosanae,Dicot,Soudzilovskaia,perennial,forb,37.16,38.99,23.85,CS/CSR,"@rgb(95,99,61)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchemilla xanthochlora Rothm.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,forb,56.32,20.1,23.57,C/CSR,"@rgb(144,51,60)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alchornea costaricensis Pax & K. Hoffm.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,33.56,52.03,14.42,CS/CSR,"@rgb(86,133,37)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Alchornea latifolia Sw.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,47.81,35.29,16.89,CS/CSR,"@rgb(122,90,43)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Alibertia edulis (Rich.) A. Rich. ex DC.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,36.82,48.46,14.72,CS/CSR,"@rgb(94,124,38)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Alibertia myrciifolia K. Schum.,Rubiaceae,Gentianales,Asteranae,Dicot,Pinho,perennial,shrub,41.02,58.98,0,CS,"@rgb(105,150,0)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Alisma lanceolatum With.,Alismataceae,Alismatales,Lilianae,Monocot,Kleyer,perennial,forb,44.92,0,55.08,CR,"@rgb(115,0,140)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Alisma plantago-aquatica L.,Alismataceae,Alismatales,Lilianae,Monocot,Kleyer,perennial,aquatic,71.18,0,28.82,C/CR,"@rgb(182,0,73)","@rgb(192,192,192)","@rgb(0,0,255)","@symbol(5,512,0)"
Alliaria petiolata (M. Bieb.) Cavara & Grande,Brassicaceae,Brassicales,Rosanae,Dicot,Cerabolini/Pierce,biennial,forb,56.25,1.06,42.7,CR,"@rgb(143,3,109)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Allium carinatum L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,39.9,0,60.1,CR,"@rgb(102,0,153)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Allium insubricum Boiss. & Reut.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Cerabolini,perennial,forb,53.35,0,46.65,CR,"@rgb(136,0,119)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Allium paradoxum (M. Bieb.) G. Don,Amaryllidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,44.6,0,55.4,CR,"@rgb(114,0,141)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Allium senescens L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,49.6,0,50.4,CR,"@rgb(126,0,129)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Allium sphaerocephalon L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Cerabolini/Pierce,perennial,forb,39.95,0,60.05,CR,"@rgb(102,0,153)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Allium ursinum L. ursinum,Amaryllidaceae,Asparagales,Lilianae,Monocot,Cerabolini/Pierce,perennial,forb,45.66,0,54.34,CR,"@rgb(116,0,139)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Allium vineale L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,Díaz,perennial,forb,48.45,4.32,47.24,CR,"@rgb(124,11,120)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"Allophylus edulis (A. St.-Hil., A. Juss. & Cambess.) Hieron. ex Niederl.",Sapindaceae,Sapindales,Rosanae,Dicot,Pinho,perennial,tree,37.57,54.58,7.86,CS,"@rgb(96,139,20)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Allophylus psilospermus Radlk.,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,50.2,27.68,22.12,C/CSR,"@rgb(128,71,56)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Alnus cordata (Loisel.) Loisel.,Betulaceae,Fagales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,42.71,34.38,22.91,CS/CSR,"@rgb(109,88,58)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Alnus glutinosa (L.) Gaertn.,Betulaceae,Fagales,Rosanae,Dicot,Díaz,perennial,tree,25.42,62.68,11.9,S/CS,"@rgb(65,160,30)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Alnus incana (L.) Moench,Betulaceae,Fagales,Rosanae,Dicot,Kleyer,perennial,shrub,40.12,35.3,24.58,CS/CSR,"@rgb(102,90,63)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
