species_author,Family,Order,Superorder,Group,Sample_reference_code,Life_cycle_habit,Plant_growth_habit,C (%),S (%),R (%),CSR,Color_values,growth_habit_grey,growth_habit_color,Growth_habit_symbol
Pseudobombax septenatum (Jacq.) Dugand,Malvaceae,Malvales,Rosanae,Dicot,Wright,perennial,tree,76.57,12.96,10.46,C/CS,"@rgb(195,33,27)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Pseudocymopterus montanus (A. Gray) J.M. Coult. & Rose,Apiaceae,Apiales,Asteranae,Dicot,Laughlin,perennial,forb,33.9,34.12,31.98,CSR,"@rgb(86,87,82)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pseudognaphalium macounii (Greene) Kartesz,Asteraceae,Asterales,Asteranae,Dicot,Laughlin,biennial,forb,23.67,0,76.33,R/CR,"@rgb(60,0,195)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pseudolysimachion spicatum (L.) Opiz spicatum,Plantaginaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,7.99,70.23,21.79,S/SR,"@rgb(20,179,56)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pseudorchis albida (L.) Á. Löve & D. Löve,Orchidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,36.57,0,63.43,R/CR,"@rgb(93,0,162)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
Pseudovaria macrophylla  (Oliv.) Merr.  ,Annonaceae,Magnoliales,Magnolianae,Dicot,SJ Wright Pasoh,perennial,tree,71.13,24.14,4.74,C/CS,"@rgb(181,62,12)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Psidium friedrichsthalianum (O. Berg) Nied.,Myrtaceae,Myrtales,Rosanae,Dicot,Wright,perennial,tree,34.74,43.03,22.23,CS/CSR,"@rgb(89,110,57)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Psidium guineense Sw.,Myrtaceae,Myrtales,Rosanae,Dicot,Pinho,perennial,tree,41.12,39.6,19.28,CS/CSR,"@rgb(105,101,49)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
Psychotria acuminata Benth.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,37.42,30.05,32.53,CSR,"@rgb(95,77,83)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
Psychotria chagrensis Standl.,Rubiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,shrub,40.04,9.22,50.74,CR,"@rgb(102,24,129)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
