Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor
Potentilla recta,Potentilla recta,6,pot_rec_6,yes,yes,yes,yes,yes,yes,0.0104,yes,yes,29,field,23,2,46
Potentilla recta,Potentilla recta,7,pot_rec_7,yes,yes,yes,yes,yes,yes,0.0117,yes,yes,93,field,26,10,260
Rudbeckia hirta,Rudbeckia hirta,1,rud_hir_1,yes,yes,yes,yes,yes,yes,0.0039,yes,yes,11,field,47,7,329
Rudbeckia hirta,Rudbeckia hirta,2,rud_hir_2,yes,yes,yes,yes,yes,yes,0.0025,yes,yes,2,field,32,12,384
Rudbeckia hirta,Rudbeckia hirta,3,rud_hir_3,yes,yes,yes,yes,yes,yes,0.0034,yes,yes,2,field,68,19,1292
Rudbeckia hirta,Rudbeckia hirta,4,rud_hir_4,yes,yes,yes,yes,yes,yes,0.0009,yes,yes,29,field,57,12,684
Rudbeckia hirta,Rudbeckia hirta,5,rud_hir_5,yes,yes,yes,yes,yes,yes,0.0018,yes,yes,10,field,81,9,729
Rudbeckia hirta,Rudbeckia hirta,6,rud_hir_6,yes,yes,yes,yes,yes,yes,0.0007,yes,yes,9,field,77,13,1001
Rudbeckia hirta,Rudbeckia hirta,7,rud_hir_7,yes,yes,yes,yes,yes,yes,0.0004,yes,yes,11,field,69,24,1656
Rumex acetosella,Rumex acetosella,1,rum_ace_1,yes,yes,yes,yes,yes,yes,0.0018,yes,yes,4,field,57,14,798
Rumex acetosella,Rumex acetosella,2,rum_ace_2,yes,yes,yes,yes,yes,yes,0.0033,yes,yes,13,field,69,17,1173
Rumex acetosella,Rumex acetosella,3,rum_ace_3,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,41,field,43,15,645
Rumex acetosella,Rumex acetosella,4,rum_ace_4,yes,yes,yes,yes,yes,yes,0.0045,yes,yes,11,field,74,13,962
Rumex acetosella,Rumex acetosella,5,rum_ace_5,yes,yes,yes,yes,yes,yes,0.0034,yes,yes,19,field,45,10,450
Rumex acetosella,Rumex acetosella,6,rum_ace_6,yes,yes,yes,yes,yes,yes,0.0013,yes,yes,0,field,73,13,949
Rumex acetosella,Rumex acetosella,7,rum_ace_7,yes,yes,yes,yes,yes,yes,0.0045,yes,yes,5,field,40,11,440
Salvia sclarea,Salvia sclarea,1,sal_scl_1,yes,yes,yes,yes,yes,yes,0.0041,yes,yes,9,field,21,1,21
Salvia sclarea,Salvia sclarea,2,sal_scl_2,yes,yes,yes,yes,yes,yes,0.0036,yes,yes,0,field,0,0,0
Salvia sclarea,Salvia sclarea,3,sal_scl_3,yes,yes,yes,yes,yes,yes,0.0035,yes,yes,35,field,20,3,60
Salvia sclarea,Salvia sclarea,4,sal_scl_4,yes,yes,yes,yes,yes,yes,0.0021,yes,yes,57,field,0,0,0
Salvia sclarea,Salvia sclarea,5,sal_scl_5,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,31,field,24,3,72
Schizachyrium scoparium,Schizachyrium scoparium,1,sch_sco_1,yes,yes,yes,yes,yes,yes,0.0197,yes,yes,31,field,49,12,588
Schizachyrium scoparium,Schizachyrium scoparium,2,sch_sco_2,yes,yes,yes,yes,yes,yes,0.0287,yes,yes,13,field,46,12,552
Schizachyrium scoparium,Schizachyrium scoparium,3,sch_sco_3,yes,yes,yes,yes,yes,yes,0.00906,yes,yes,55,field,38,11,418
Schizachyrium scoparium,Schizachyrium scoparium,4,sch_sco_4,yes,yes,yes,yes,yes,yes,0.0135,yes,yes,28,field,44,14,616
Schizachyrium scoparium,Schizachyrium scoparium,5,sch_sco_5,yes,yes,yes,yes,yes,yes,0.0293,yes,yes,51,field,67,18,1206
Schizachyrium scoparium,Schizachyrium scoparium,6,sch_sco_6,yes,yes,yes,yes,yes,yes,0.0076,yes,yes,38,field,14,3,42
Schizachyrium scoparium,Schizachyrium scoparium,7,sch_sco_7,yes,yes,yes,yes,yes,yes,0.02592,yes,yes,29,field,14,4,56
Scirpoides holoschoenus,Scirpoides holoschoenus,1,sci_hol_1,yes,yes,yes,yes,yes,yes,0.0008,yes,yes,32,field,18,13,234
Scirpoides holoschoenus,Scirpoides holoschoenus,2,sci_hol_2,yes,yes,yes,yes,yes,yes,0.0025,yes,yes,34,field,36,3,108
Scirpoides holoschoenus,Scirpoides holoschoenus,3,sci_hol_3,yes,yes,yes,yes,yes,yes,0.0019,yes,yes,59,field,0,0,0
Scirpoides holoschoenus,Scirpoides holoschoenus,4,sci_hol_4,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,73,field,0,0,0
Scirpoides holoschoenus,Scirpoides holoschoenus,5,sci_hol_5,yes,yes,yes,yes,yes,yes,0.0059,yes,yes,63,field,0,0,0
Solidago canadensis,Solidago canadensis,1,sol_can_1,yes,yes,yes,yes,yes,yes,0.0102,yes,yes,65,field,63,15,945
Solidago canadensis,Solidago canadensis,2,sol_can_2,yes,yes,yes,yes,yes,yes,0.0127,yes,yes,45,field,23,6,138
Solidago canadensis,Solidago canadensis,3,sol_can_3,yes,yes,yes,yes,yes,yes,0.04718,yes,yes,42,field,16,8,128
Solidago canadensis,Solidago canadensis,4,sol_can_4,yes,yes,yes,yes,yes,yes,0.0145,yes,yes,100,field,14,6,84
Solidago canadensis,Solidago canadensis,5,sol_can_5,yes,yes,yes,yes,yes,yes,0.0304,yes,yes,43,field,25,13,325
Solidago canadensis,Solidago canadensis,6,sol_can_6,yes,yes,yes,yes,yes,yes,0.02541,yes,yes,26,field,33,7,231
Solidago canadensis,Solidago canadensis,7,sol_can_7,yes,yes,yes,yes,yes,yes,0.02234,yes,yes,89,field,19,8,152
Stachys palustris,Stachys palustris,1,sta_pal_1,yes,yes,yes,yes,yes,yes,0.0101,yes,yes,93,field,0,0,0
Stachys palustris,Stachys palustris,2,sta_pal_2,yes,yes,yes,yes,yes,yes,0.0056,yes,yes,100,field,27,4,108
Stachys palustris,Stachys palustris,3,sta_pal_3,yes,yes,yes,yes,yes,yes,0.0082,yes,yes,100,field,0,0,0
Stachys palustris,Stachys palustris,4,sta_pal_4,yes,yes,yes,yes,yes,yes,0.0069,yes,yes,89,field,32,5,160
Stachys palustris,Stachys palustris,5,sta_pal_5,yes,yes,yes,yes,yes,yes,0.0113,yes,yes,100,field,41,7,287
Stachys palustris,Stachys palustris,6,sta_pal_6,yes,yes,yes,yes,yes,yes,0.0062,yes,yes,97,field,37,9,333
Stachys palustris,Stachys palustris,7,sta_pal_7,yes,yes,yes,yes,yes,yes,0.0037,yes,yes,96,field,0,0,0
Symphyotrichum ericoides,Symphyotrichum ericoides,1,sym_eri_1,yes,yes,yes,yes,yes,yes,0.0067,yes,yes,45,glasshouse,47,29,1363
Symphyotrichum ericoides,Symphyotrichum ericoides,2,sym_eri_2,yes,yes,yes,yes,yes,yes,0.0026,yes,yes,89,glasshouse,41,24,984
Symphyotrichum ericoides,Symphyotrichum ericoides,3,sym_eri_3,yes,yes,yes,yes,yes,yes,0.0065,yes,yes,60,glasshouse,68,35,2380
Taraxacum officinale,Taraxacum officinale,1,tar_off_1,yes,yes,yes,yes,yes,yes,0.0071,yes,yes,88,field,65,3,195
Taraxacum officinale,Taraxacum officinale,2,tar_off_2,yes,yes,yes,yes,yes,yes,0.0035,yes,yes,100,field,32,6,192
Taraxacum officinale,Taraxacum officinale,3,tar_off_3,yes,yes,yes,yes,yes,yes,0.0012,yes,yes,91,field,41,6,246
Taraxacum officinale,Taraxacum officinale,4,tar_off_4,yes,yes,yes,yes,yes,yes,0.003,yes,yes,98,field,39,12,468
Taraxacum officinale,Taraxacum officinale,5,tar_off_5,yes,yes,yes,yes,yes,yes,0.0037,yes,yes,85,field,38,2,76
Taraxacum officinale,Taraxacum officinale,6,tar_off_6,yes,yes,yes,yes,yes,yes,0.0045,yes,yes,97,field,52,5,260
Taraxacum officinale,Taraxacum officinale,7,tar_off_7,yes,yes,yes,yes,yes,yes,0.003,yes,yes,100,field,34,1,34
Thermopsis montana,Thermopsis montana,1,the_mon_1,yes,yes,yes,yes,yes,yes,0.0332,yes,yes,,field,14,15,210
Thermopsis montana,Thermopsis montana,2,the_mon_2,yes,yes,yes,yes,yes,yes,0.0341,yes,yes,,field,11,16,176
Thermopsis montana,Thermopsis montana,3,the_mon_3,yes,yes,yes,yes,yes,yes,0.0335,yes,yes,,field,8,13,104
Thermopsis montana,Thermopsis montana,4,the_mon_4,yes,yes,yes,yes,yes,yes,0.0324,yes,yes,,field,7,13,91
Thermopsis montana,Thermopsis montana,5,the_mon_5,yes,yes,yes,yes,yes,yes,0.0617,yes,yes,,field,6,17,102
Woodsia obtusa,Physematium obtusum,1,woo_obt_1,yes,yes,yes,yes,yes,yes,0.0044,yes,yes,24,field,39,14,546
Woodsia obtusa,Physematium obtusum,2,woo_obt_2,yes,yes,yes,yes,yes,yes,0.0053,yes,yes,38,field,58,11,638
Woodsia obtusa,Physematium obtusum,3,woo_obt_3,yes,yes,yes,yes,yes,yes,0.0059,yes,yes,25,field,48,13,624
Woodsia obtusa,Physematium obtusum,4,woo_obt_4,yes,yes,yes,yes,yes,yes,0.004,yes,yes,10,field,97,9,873
Woodsia obtusa,Physematium obtusum,5,woo_obt_5,yes,yes,yes,yes,yes,yes,0.0101,yes,yes,17,field,70,10,700
Woodsia obtusa,Physematium obtusum,6,woo_obt_6,yes,yes,yes,yes,yes,yes,0.0051,yes,yes,14,field,53,17,901
Woodsia obtusa,Physematium obtusum,7,woo_obt_7,yes,yes,yes,yes,yes,yes,0.0043,yes,yes,12,field,72,16,1152
