Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor
Baptisia australis,Baptisia australis,2,bap_aus_2,yes,yes,yes,yes,yes,yes,0.03326,yes,yes,,field,8,23,184
Baptisia australis,Baptisia australis,3,bap_aus_3,yes,yes,yes,yes,yes,yes,0.0599,yes,yes,,field,12,25,300
Baptisia australis,Baptisia australis,4,bap_aus_4,yes,yes,yes,yes,yes,yes,0.01405,yes,yes,,field,7,15,105
Baptisia australis,Baptisia australis,5,bap_aus_5,yes,yes,yes,yes,yes,yes,0.02101,yes,yes,,field,13,25,325
Baptisia australis,Baptisia australis,6,bap_aus_6,yes,yes,yes,yes,yes,yes,0.0081,yes,yes,,field,7,18,126
Baptisia australis,Baptisia australis,7,bap_aus_7,yes,yes,yes,yes,yes,yes,0.0082,yes,yes,,field,10,17,170
Biophytum umbraculum,Biophytum umbraculum,1,bio_umb_1,yes,yes,yes,yes,yes,yes,0.0067,yes,yes,18,glasshouse,17,13,221
Biophytum umbraculum,Biophytum umbraculum,2,bio_umb_2,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,26,glasshouse,16,15,240
Brassica nigra,Brassica nigra,1,bra_nig_1,yes,yes,yes,yes,yes,yes,0.007,yes,yes,0,field,0,0,0
Brassica nigra,Brassica nigra,2,bra_nig_2,yes,yes,yes,yes,yes,yes,0.013,yes,yes,0,field,0,0,0
Brassica nigra,Brassica nigra,3,bra_nig_3,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,0,field,0,0,0
Brassica nigra,Brassica nigra,4,bra_nig_4,yes,yes,yes,yes,yes,yes,0.0047,yes,yes,3,field,0,0,0
Brassica nigra,Brassica nigra,5,bra_nig_5,yes,yes,yes,yes,yes,yes,0.0069,yes,yes,0,field,0,0,0
Campsis radicans,Campsis radicans,1,cam_rad_1,yes,yes,yes,yes,yes,yes,0.0265,yes,yes,66,field,7,28,196
Campsis radicans,Campsis radicans,2,cam_rad_2,yes,yes,yes,yes,yes,yes,0.0161,yes,yes,37,field,8,26,208
Campsis radicans,Campsis radicans,3,cam_rad_3,yes,yes,yes,yes,yes,yes,0.0141,yes,yes,80,field,6,26,156
Campsis radicans,Campsis radicans,4,cam_rad_4,yes,yes,yes,yes,yes,yes,0.0176,yes,yes,54,field,5,20,100
Campsis radicans,Campsis radicans,5,cam_rad_5,yes,yes,yes,yes,yes,yes,0.004,yes,yes,71,field,4,19,76
Carex otrubae,Carex otrubae,1,car_otr_1,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,6,field,22,17,374
Carex otrubae,Carex otrubae,2,car_otr_2,yes,yes,yes,yes,yes,yes,0.0115,yes,yes,68,field,26,12,312
Carex otrubae,Carex otrubae,3,car_otr_3,yes,yes,yes,yes,yes,yes,0.0079,yes,yes,10,field,28,13,364
Carex otrubae,Carex otrubae,4,car_otr_4,yes,yes,yes,yes,yes,yes,0.0081,yes,yes,15,field,30,8,240
Carex otrubae,Carex otrubae,5,car_otr_5,yes,yes,yes,yes,yes,yes,0.0109,yes,yes,23,field,27,9,243
Cerastium arvense,Cerastium arvense,1,cer_arv_1,yes,yes,yes,yes,yes,yes,0.0079,yes,yes,12,field,50,1,50
Cerastium arvense,Cerastium arvense,2,cer_arv_2,yes,yes,yes,yes,yes,yes,0.0024,yes,yes,37,field,0,0,0
Cerastium arvense,Cerastium arvense,3,cer_arv_3,yes,yes,yes,yes,yes,yes,0.0178,yes,yes,22,field,20,3,60
Cerastium arvense,Cerastium arvense,4,cer_arv_4,yes,yes,yes,yes,yes,yes,0.0032,yes,yes,29,field,0,0,0
Cerastium arvense,Cerastium arvense,5,cer_arv_5,yes,yes,yes,yes,yes,yes,0.0031,yes,yes,61,field,10,3,30
Chasmanthium latifolium,Chasmanthium latifolium,1,cha_lat_1,yes,yes,yes,yes,yes,yes,0.0433,yes,yes,84,field,0,0,0
Chasmanthium latifolium,Chasmanthium latifolium,2,cha_lat_2,yes,yes,yes,yes,yes,yes,0.0233,yes,yes,80,field,0,0,0
Chasmanthium latifolium,Chasmanthium latifolium,3,cha_lat_3,yes,yes,yes,yes,yes,yes,0.0488,yes,yes,71,field,0,0,0
Chasmanthium latifolium,Chasmanthium latifolium,4,cha_lat_4,yes,yes,yes,yes,yes,yes,0.0474,yes,yes,74,field,0,0,0
Chasmanthium latifolium,Chasmanthium latifolium,5,cha_lat_5,yes,yes,yes,yes,yes,yes,0.0597,yes,yes,93,field,0,0,0
Chasmanthium latifolium,Chasmanthium latifolium,6,cha_lat_6,yes,yes,yes,yes,yes,yes,0.0199,yes,yes,77,field,0,0,0
Chasmanthium latifolium,Chasmanthium latifolium,7,cha_lat_7,yes,yes,yes,yes,yes,yes,0.0253,yes,yes,61,field,0,0,0
Crinum moorei,Crinum moorei,1,cri_moo_1,yes,yes,yes,yes,yes,yes,0.0038,yes,yes,93,field,37,3,111
Crinum moorei,Crinum moorei,2,cri_moo_2,yes,yes,yes,yes,yes,yes,0.0053,yes,yes,69,field,0,0,0
Crinum moorei,Crinum moorei,3,cri_moo_3,yes,yes,yes,yes,yes,yes,0.0033,yes,yes,89,field,0,0,0
Crinum moorei,Crinum moorei,4,cri_moo_4,yes,yes,yes,yes,yes,yes,0.0035,yes,yes,88,field,0,0,0
Crinum moorei,Crinum moorei,5,cri_moo_5,yes,yes,yes,yes,yes,yes,0.0061,yes,yes,97,field,45,1,45
Crinum moorei,Crinum moorei,6,cri_moo_6,yes,yes,yes,yes,yes,yes,0.0036,yes,yes,52,field,0,0,0
Crinum moorei,Crinum moorei,7,cri_moo_7,yes,yes,yes,yes,yes,yes,0.0051,yes,yes,99,field,84,2,168
Dorycnium rectum,Lotus rectus,1,dor_rec_1,yes,yes,yes,yes,yes,yes,0.0338,yes,yes,,field,6,22,132
Dorycnium rectum,Lotus rectus,2,dor_rec_2,yes,yes,yes,yes,yes,yes,0.0121,yes,yes,,field,5,24,120
Dorycnium rectum,Lotus rectus,3,dor_rec_3,yes,yes,yes,yes,yes,yes,0.0253,yes,yes,,field,4,17,68
Echinacea pallida,Echinacea pallida,1,ech_pal_1,yes,yes,yes,yes,yes,yes,0.0129,yes,yes,78,field,84,14,1176
Equisetum hyemale,Equisetum hyemale,1,equ_hym_1,yes,yes,yes,yes,yes,yes,0.0282,yes,yes,100,field,0,0,0
Equisetum hyemale,Equisetum hyemale,2,equ_hym_2,yes,yes,yes,yes,yes,yes,0.0167,yes,yes,99,field,0,0,0
Equisetum hyemale,Equisetum hyemale,3,equ_hym_3,yes,yes,yes,yes,yes,yes,0.0126,yes,yes,100,field,0,0,0
Equisetum hyemale,Equisetum hyemale,4,equ_hym_4,yes,yes,yes,yes,yes,yes,0.0111,yes,yes,100,field,0,0,0
Equisetum hyemale,Equisetum hyemale,5,equ_hym_5,yes,yes,yes,yes,yes,yes,0.0062,yes,yes,98,field,0,0,0
Equisetum hyemale,Equisetum hyemale,6,equ_hym_6,yes,yes,yes,yes,yes,yes,0.024,yes,yes,97,field,0,0,0
Equisetum hyemale,Equisetum hyemale,7,equ_hym_7,yes,yes,yes,yes,yes,yes,0.0191,yes,yes,97,field,0,0,0
Erodium trifolium,Erodium trifolium,1,ero_tri_1,yes,yes,yes,yes,yes,yes,0.0019,yes,yes,56,field,37,23,851
Erodium trifolium,Erodium trifolium,2,ero_tri_2,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,67,field,35,19,665
Erodium trifolium,Erodium trifolium,3,ero_tri_3,yes,yes,yes,yes,yes,yes,0.0017,yes,yes,47,field,45,16,720
Erodium trifolium,Erodium trifolium,4,ero_tri_4,yes,yes,yes,yes,yes,yes,0.0018,yes,yes,78,field,33,24,792
Erodium trifolium,Erodium trifolium,5,ero_tri_5,yes,yes,yes,yes,yes,yes,0.0029,yes,yes,87,field,47,22,1034
Galium aparine,Galium aparine,1,gal_apa_1,yes,yes,yes,yes,yes,yes,0.0024,yes,yes,18,field,67,5,335
Geum triflorum,Geum triflorum,1,geu_tri_1,yes,yes,yes,yes,yes,yes,0.0046,yes,yes,81,field,54,5,270
Geum triflorum,Geum triflorum,2,geu_tri_2,yes,yes,yes,yes,yes,yes,0.0014,yes,yes,73,field,54,3,162
Geum triflorum,Geum triflorum,3,geu_tri_3,yes,yes,yes,yes,yes,yes,0.0028,yes,yes,96,field,45,3,135
Geum triflorum,Geum triflorum,4,geu_tri_4,yes,yes,yes,yes,yes,yes,0.0057,yes,yes,95,field,65,2,130
Geum triflorum,Geum triflorum,5,geu_tri_5,yes,yes,yes,yes,yes,yes,0.0033,yes,yes,55,field,37,9,333
Geum triflorum,Geum triflorum,6,geu_tri_6,yes,yes,yes,yes,yes,yes,0.0074,yes,yes,70,field,15,5,75
Geum triflorum,Geum triflorum,7,geu_tri_7,yes,yes,yes,yes,yes,yes,0.0019,yes,yes,91,field,25,5,125
Iris missouriensis,Iris missouriensis,1,iri_mis_1,yes,yes,yes,yes,yes,yes,0.0061,yes,yes,44,field,0,0,0
Iris missouriensis,Iris missouriensis,2,iri_mis_2,yes,yes,yes,yes,yes,yes,0.0161,yes,yes,72,field,0,0,0
